Process 0 has a clock rate of 4

Sent message:'0'	 System time: 13:48:58	 Logical clock time: 1
Sent message:'1'	 System time: 13:48:59	 Logical clock time: 2
Sent message:'2'	 System time: 13:48:59	 Logical clock time: 3
Internal event	 System time: 13:48:59	 Logical clock time: 4
Sent message:'4'	 System time: 13:48:59	 Logical clock time: 5
Internal event	 System time: 13:49:00	 Logical clock time: 6
Sent message:'6'	 System time: 13:49:00	 Logical clock time: 7
Sent message:'7'	 System time: 13:49:00	 Logical clock time: 8
Sent message:'8'	 System time: 13:49:01	 Logical clock time: 9
Sent message:'9'	 System time: 13:49:01	 Logical clock time: 10
Sent message:'10'	 System time: 13:49:01	 Logical clock time: 11
Sent message:'11'	 System time: 13:49:01	 Logical clock time: 12
Sent message:'12'	 System time: 13:49:02	 Logical clock time: 13
Internal event	 System time: 13:49:02	 Logical clock time: 14
Sent message:'14'	 System time: 13:49:02	 Logical clock time: 15
Internal event	 System time: 13:49:02	 Logical clock time: 16
Sent message:'16'	 System time: 13:49:03	 Logical clock time: 17
Sent message:'17'	 System time: 13:49:03	 Logical clock time: 18
Sent message:'18'	 System time: 13:49:03	 Logical clock time: 19
Sent message:'19'	 System time: 13:49:03	 Logical clock time: 20
Sent message:'20'	 System time: 13:49:04	 Logical clock time: 21
Sent message:'21'	 System time: 13:49:04	 Logical clock time: 22
Sent message:'22'	 System time: 13:49:04	 Logical clock time: 23
Sent message:'23'	 System time: 13:49:04	 Logical clock time: 24
Sent message:'24'	 System time: 13:49:05	 Logical clock time: 25
Sent message:'25'	 System time: 13:49:05	 Logical clock time: 26
Internal event	 System time: 13:49:05	 Logical clock time: 27
Sent message:'27'	 System time: 13:49:05	 Logical clock time: 28
Internal event	 System time: 13:49:06	 Logical clock time: 29
Sent message:'29'	 System time: 13:49:06	 Logical clock time: 30
Sent message:'30'	 System time: 13:49:06	 Logical clock time: 31
Sent message:'31'	 System time: 13:49:06	 Logical clock time: 32
