Process 1 has a clock rate of 1

Internal event	 System time: 13:25:06	 Logical clock time: 1
Received message	 System time: 13:25:07	 Logical clock time: 2
Received message	 System time: 13:25:08	 Logical clock time: 3
Received message	 System time: 13:25:09	 Logical clock time: 4
Received message	 System time: 13:25:10	 Logical clock time: 5
Received message	 System time: 13:25:11	 Logical clock time: 7
Received message	 System time: 13:25:12	 Logical clock time: 9
Received message	 System time: 13:25:13	 Logical clock time: 20
Received message	 System time: 13:25:14	 Logical clock time: 21
Received message	 System time: 13:25:15	 Logical clock time: 34
Received message	 System time: 13:25:16	 Logical clock time: 36
Received message	 System time: 13:25:17	 Logical clock time: 39
Received message	 System time: 13:25:18	 Logical clock time: 40
Received message	 System time: 13:25:19	 Logical clock time: 41
Received message	 System time: 13:25:20	 Logical clock time: 42
Received message	 System time: 13:25:21	 Logical clock time: 43
Received message	 System time: 13:25:22	 Logical clock time: 51
Received message	 System time: 13:25:23	 Logical clock time: 52
Received message	 System time: 13:25:24	 Logical clock time: 53
Received message	 System time: 13:25:25	 Logical clock time: 57
Received message	 System time: 13:25:26	 Logical clock time: 58
Received message	 System time: 13:25:27	 Logical clock time: 60
Received message	 System time: 13:25:28	 Logical clock time: 61
Received message	 System time: 13:25:29	 Logical clock time: 62
Received message	 System time: 13:25:30	 Logical clock time: 68
Received message	 System time: 13:25:31	 Logical clock time: 69
Received message	 System time: 13:25:32	 Logical clock time: 71
Received message	 System time: 13:25:33	 Logical clock time: 84
Received message	 System time: 13:25:34	 Logical clock time: 85
Received message	 System time: 13:25:35	 Logical clock time: 90
Received message	 System time: 13:25:36	 Logical clock time: 92
Received message	 System time: 13:25:37	 Logical clock time: 94
Received message	 System time: 13:25:38	 Logical clock time: 95
Received message	 System time: 13:25:39	 Logical clock time: 99
Received message	 System time: 13:25:40	 Logical clock time: 100
Received message	 System time: 13:25:41	 Logical clock time: 113
Received message	 System time: 13:25:42	 Logical clock time: 123
Received message	 System time: 13:25:43	 Logical clock time: 124
Received message	 System time: 13:25:44	 Logical clock time: 126
Received message	 System time: 13:25:45	 Logical clock time: 127
Received message	 System time: 13:25:46	 Logical clock time: 128
Received message	 System time: 13:25:47	 Logical clock time: 131
Received message	 System time: 13:25:48	 Logical clock time: 138
Received message	 System time: 13:25:49	 Logical clock time: 144
Received message	 System time: 13:25:50	 Logical clock time: 151
Received message	 System time: 13:25:51	 Logical clock time: 154
Received message	 System time: 13:25:52	 Logical clock time: 163
Received message	 System time: 13:25:53	 Logical clock time: 171
Received message	 System time: 13:25:54	 Logical clock time: 173
Received message	 System time: 13:25:55	 Logical clock time: 185
Received message	 System time: 13:25:56	 Logical clock time: 188
Received message	 System time: 13:25:57	 Logical clock time: 197
Received message	 System time: 13:25:58	 Logical clock time: 198
Received message	 System time: 13:25:59	 Logical clock time: 199
Received message	 System time: 13:26:00	 Logical clock time: 203
Received message	 System time: 13:26:01	 Logical clock time: 211
Received message	 System time: 13:26:02	 Logical clock time: 212
Received message	 System time: 13:26:03	 Logical clock time: 216
Received message	 System time: 13:26:04	 Logical clock time: 217
Received message	 System time: 13:26:05	 Logical clock time: 223
Received message	 System time: 13:26:06	 Logical clock time: 224
Received message	 System time: 13:26:07	 Logical clock time: 228
Received message	 System time: 13:26:08	 Logical clock time: 231
Received message	 System time: 13:26:09	 Logical clock time: 235
Received message	 System time: 13:26:10	 Logical clock time: 241
Received message	 System time: 13:26:11	 Logical clock time: 242
Received message	 System time: 13:26:12	 Logical clock time: 243
Received message	 System time: 13:26:13	 Logical clock time: 246
Received message	 System time: 13:26:14	 Logical clock time: 253
Received message	 System time: 13:26:15	 Logical clock time: 254
Received message	 System time: 13:26:16	 Logical clock time: 256
Received message	 System time: 13:26:17	 Logical clock time: 257
Received message	 System time: 13:26:18	 Logical clock time: 260
Received message	 System time: 13:26:19	 Logical clock time: 263
Received message	 System time: 13:26:20	 Logical clock time: 265
Received message	 System time: 13:26:21	 Logical clock time: 266
Received message	 System time: 13:26:22	 Logical clock time: 272
Received message	 System time: 13:26:23	 Logical clock time: 273
Received message	 System time: 13:26:24	 Logical clock time: 279
Received message	 System time: 13:26:25	 Logical clock time: 281
Received message	 System time: 13:26:26	 Logical clock time: 283
Received message	 System time: 13:26:27	 Logical clock time: 285
Received message	 System time: 13:26:28	 Logical clock time: 286
Received message	 System time: 13:26:29	 Logical clock time: 296
Received message	 System time: 13:26:30	 Logical clock time: 307
Received message	 System time: 13:26:31	 Logical clock time: 308
Received message	 System time: 13:26:32	 Logical clock time: 311
Received message	 System time: 13:26:33	 Logical clock time: 312
Received message	 System time: 13:26:34	 Logical clock time: 318
Received message	 System time: 13:26:35	 Logical clock time: 319
Received message	 System time: 13:26:36	 Logical clock time: 321
Received message	 System time: 13:26:37	 Logical clock time: 322
Received message	 System time: 13:26:38	 Logical clock time: 326
Received message	 System time: 13:26:39	 Logical clock time: 328
Received message	 System time: 13:26:40	 Logical clock time: 329
Received message	 System time: 13:26:41	 Logical clock time: 330
Received message	 System time: 13:26:42	 Logical clock time: 331
Received message	 System time: 13:26:43	 Logical clock time: 336
Received message	 System time: 13:26:44	 Logical clock time: 337
Received message	 System time: 13:26:45	 Logical clock time: 348
Received message	 System time: 13:26:46	 Logical clock time: 350
Received message	 System time: 13:26:47	 Logical clock time: 352
Received message	 System time: 13:26:48	 Logical clock time: 355
Received message	 System time: 13:26:49	 Logical clock time: 358
Received message	 System time: 13:26:50	 Logical clock time: 367
Received message	 System time: 13:26:51	 Logical clock time: 370
Received message	 System time: 13:26:52	 Logical clock time: 374
Received message	 System time: 13:26:53	 Logical clock time: 375
Received message	 System time: 13:26:54	 Logical clock time: 382
Received message	 System time: 13:26:55	 Logical clock time: 384
Received message	 System time: 13:26:56	 Logical clock time: 385
Received message	 System time: 13:26:57	 Logical clock time: 387
Received message	 System time: 13:26:58	 Logical clock time: 389
Received message	 System time: 13:26:59	 Logical clock time: 391
Received message	 System time: 13:27:00	 Logical clock time: 396
Received message	 System time: 13:27:01	 Logical clock time: 397
Received message	 System time: 13:27:02	 Logical clock time: 398
Received message	 System time: 13:27:03	 Logical clock time: 401
Received message	 System time: 13:27:04	 Logical clock time: 405
Received message	 System time: 13:27:05	 Logical clock time: 406
Received message	 System time: 13:27:06	 Logical clock time: 409
Received message	 System time: 13:27:08	 Logical clock time: 414
Received message	 System time: 13:27:09	 Logical clock time: 416
Received message	 System time: 13:27:10	 Logical clock time: 418
Received message	 System time: 13:27:11	 Logical clock time: 421
Received message	 System time: 13:27:12	 Logical clock time: 425
Received message	 System time: 13:27:13	 Logical clock time: 430
Received message	 System time: 13:27:14	 Logical clock time: 432
Received message	 System time: 13:27:15	 Logical clock time: 433
Received message	 System time: 13:27:16	 Logical clock time: 439
Received message	 System time: 13:27:17	 Logical clock time: 440
Received message	 System time: 13:27:18	 Logical clock time: 442
Received message	 System time: 13:27:19	 Logical clock time: 443
Received message	 System time: 13:27:20	 Logical clock time: 453
Received message	 System time: 13:27:21	 Logical clock time: 455
Received message	 System time: 13:27:22	 Logical clock time: 460
Received message	 System time: 13:27:23	 Logical clock time: 461
Received message	 System time: 13:27:24	 Logical clock time: 462
Received message	 System time: 13:27:25	 Logical clock time: 469
Received message	 System time: 13:27:26	 Logical clock time: 470
Received message	 System time: 13:27:27	 Logical clock time: 481
Received message	 System time: 13:27:28	 Logical clock time: 482
Received message	 System time: 13:27:29	 Logical clock time: 483
Received message	 System time: 13:27:30	 Logical clock time: 484
Received message	 System time: 13:27:31	 Logical clock time: 485
Received message	 System time: 13:27:32	 Logical clock time: 486
Received message	 System time: 13:27:33	 Logical clock time: 493
Received message	 System time: 13:27:34	 Logical clock time: 496
Received message	 System time: 13:27:35	 Logical clock time: 503
Received message	 System time: 13:27:36	 Logical clock time: 504
Received message	 System time: 13:27:37	 Logical clock time: 510
Received message	 System time: 13:27:38	 Logical clock time: 513
Received message	 System time: 13:27:39	 Logical clock time: 535
Received message	 System time: 13:27:40	 Logical clock time: 536
Received message	 System time: 13:27:41	 Logical clock time: 537
Received message	 System time: 13:27:42	 Logical clock time: 539
Received message	 System time: 13:27:43	 Logical clock time: 548
Received message	 System time: 13:27:44	 Logical clock time: 549
Received message	 System time: 13:27:45	 Logical clock time: 556
Received message	 System time: 13:27:46	 Logical clock time: 559
Received message	 System time: 13:27:47	 Logical clock time: 561
Received message	 System time: 13:27:48	 Logical clock time: 565
Received message	 System time: 13:27:49	 Logical clock time: 567
Received message	 System time: 13:27:50	 Logical clock time: 570
Received message	 System time: 13:27:51	 Logical clock time: 571
Received message	 System time: 13:27:52	 Logical clock time: 574
Received message	 System time: 13:27:53	 Logical clock time: 576
Received message	 System time: 13:27:54	 Logical clock time: 578
Received message	 System time: 13:27:55	 Logical clock time: 579
Received message	 System time: 13:27:56	 Logical clock time: 580
Received message	 System time: 13:27:57	 Logical clock time: 581
Received message	 System time: 13:27:58	 Logical clock time: 582
Received message	 System time: 13:27:59	 Logical clock time: 583
Received message	 System time: 13:28:00	 Logical clock time: 584
Received message	 System time: 13:28:01	 Logical clock time: 588
Received message	 System time: 13:28:02	 Logical clock time: 591
Received message	 System time: 13:28:03	 Logical clock time: 593
Received message	 System time: 13:28:04	 Logical clock time: 602
Received message	 System time: 13:28:05	 Logical clock time: 603
Received message	 System time: 13:28:06	 Logical clock time: 604
Received message	 System time: 13:28:07	 Logical clock time: 605
Received message	 System time: 13:28:08	 Logical clock time: 606
Received message	 System time: 13:28:09	 Logical clock time: 609
Received message	 System time: 13:28:10	 Logical clock time: 611
Received message	 System time: 13:28:11	 Logical clock time: 618
Received message	 System time: 13:28:12	 Logical clock time: 624
Received message	 System time: 13:28:13	 Logical clock time: 625
Received message	 System time: 13:28:14	 Logical clock time: 626
Received message	 System time: 13:28:15	 Logical clock time: 628
Received message	 System time: 13:28:16	 Logical clock time: 629
Received message	 System time: 13:28:17	 Logical clock time: 632
Received message	 System time: 13:28:18	 Logical clock time: 635
Received message	 System time: 13:28:19	 Logical clock time: 641
Received message	 System time: 13:28:20	 Logical clock time: 646
Received message	 System time: 13:28:21	 Logical clock time: 649
Received message	 System time: 13:28:22	 Logical clock time: 650
Received message	 System time: 13:28:23	 Logical clock time: 653
Received message	 System time: 13:28:24	 Logical clock time: 656
Received message	 System time: 13:28:25	 Logical clock time: 658
Received message	 System time: 13:28:26	 Logical clock time: 663
Received message	 System time: 13:28:27	 Logical clock time: 664
Received message	 System time: 13:28:28	 Logical clock time: 666
