Process 2 has a clock rate of 1

Sent message:'0'	 System time: 13:48:58	 Logical clock time: 1
Received message	 System time: 13:48:59	 Logical clock time: 2
Received message	 System time: 13:49:00	 Logical clock time: 3
Received message	 System time: 13:49:01	 Logical clock time: 4
Received message	 System time: 13:49:02	 Logical clock time: 5
Received message	 System time: 13:49:03	 Logical clock time: 7
Received message	 System time: 13:49:04	 Logical clock time: 8
Received message	 System time: 13:49:05	 Logical clock time: 10
Received message	 System time: 13:49:06	 Logical clock time: 11
Received message	 System time: 13:49:07	 Logical clock time: 12
Received message	 System time: 13:49:09	 Logical clock time: 13
Received message	 System time: 13:49:10	 Logical clock time: 15
Received message	 System time: 13:49:11	 Logical clock time: 17
Received message	 System time: 13:49:12	 Logical clock time: 19
Received message	 System time: 13:49:13	 Logical clock time: 20
Received message	 System time: 13:49:14	 Logical clock time: 22
Received message	 System time: 13:49:15	 Logical clock time: 24
Received message	 System time: 13:49:16	 Logical clock time: 25
Received message	 System time: 13:49:17	 Logical clock time: 30
Received message	 System time: 13:49:18	 Logical clock time: 31
Received message	 System time: 13:49:19	 Logical clock time: 32
Received message	 System time: 13:49:20	 Logical clock time: 33
Received message	 System time: 13:49:21	 Logical clock time: 34
Received message	 System time: 13:49:22	 Logical clock time: 35
Received message	 System time: 13:49:23	 Logical clock time: 37
Received message	 System time: 13:49:24	 Logical clock time: 38
Received message	 System time: 13:49:25	 Logical clock time: 39
Received message	 System time: 13:49:26	 Logical clock time: 44
Received message	 System time: 13:49:27	 Logical clock time: 46
Received message	 System time: 13:49:28	 Logical clock time: 49
Received message	 System time: 13:49:29	 Logical clock time: 50
Received message	 System time: 13:49:30	 Logical clock time: 51
Received message	 System time: 13:49:31	 Logical clock time: 52
Received message	 System time: 13:49:32	 Logical clock time: 53
Received message	 System time: 13:49:33	 Logical clock time: 55
Received message	 System time: 13:49:34	 Logical clock time: 60
Received message	 System time: 13:49:35	 Logical clock time: 62
Received message	 System time: 13:49:36	 Logical clock time: 65
Received message	 System time: 13:49:37	 Logical clock time: 67
Received message	 System time: 13:49:38	 Logical clock time: 77
Received message	 System time: 13:49:39	 Logical clock time: 78
Received message	 System time: 13:49:40	 Logical clock time: 79
Received message	 System time: 13:49:41	 Logical clock time: 80
Received message	 System time: 13:49:42	 Logical clock time: 81
Received message	 System time: 13:49:43	 Logical clock time: 82
Received message	 System time: 13:49:44	 Logical clock time: 83
Received message	 System time: 13:49:45	 Logical clock time: 85
Received message	 System time: 13:49:46	 Logical clock time: 86
Received message	 System time: 13:49:47	 Logical clock time: 87
Received message	 System time: 13:49:48	 Logical clock time: 88
Received message	 System time: 13:49:49	 Logical clock time: 92
Received message	 System time: 13:49:50	 Logical clock time: 94
Received message	 System time: 13:49:51	 Logical clock time: 95
Received message	 System time: 13:49:52	 Logical clock time: 97
Received message	 System time: 13:49:53	 Logical clock time: 99
Received message	 System time: 13:49:54	 Logical clock time: 102
Received message	 System time: 13:49:55	 Logical clock time: 104
Received message	 System time: 13:49:56	 Logical clock time: 105
Received message	 System time: 13:49:57	 Logical clock time: 107
Received message	 System time: 13:49:58	 Logical clock time: 108
Received message	 System time: 13:49:59	 Logical clock time: 109
Received message	 System time: 13:50:00	 Logical clock time: 110
Received message	 System time: 13:50:01	 Logical clock time: 111
Received message	 System time: 13:50:02	 Logical clock time: 112
Received message	 System time: 13:50:03	 Logical clock time: 114
Received message	 System time: 13:50:04	 Logical clock time: 115
Received message	 System time: 13:50:05	 Logical clock time: 116
Received message	 System time: 13:50:06	 Logical clock time: 119
Received message	 System time: 13:50:07	 Logical clock time: 120
Received message	 System time: 13:50:08	 Logical clock time: 122
Received message	 System time: 13:50:09	 Logical clock time: 125
Received message	 System time: 13:50:10	 Logical clock time: 126
Received message	 System time: 13:50:11	 Logical clock time: 130
Received message	 System time: 13:50:12	 Logical clock time: 131
Received message	 System time: 13:50:13	 Logical clock time: 134
Received message	 System time: 13:50:14	 Logical clock time: 135
Received message	 System time: 13:50:15	 Logical clock time: 136
Received message	 System time: 13:50:16	 Logical clock time: 140
Received message	 System time: 13:50:17	 Logical clock time: 142
Received message	 System time: 13:50:18	 Logical clock time: 143
Received message	 System time: 13:50:19	 Logical clock time: 146
Received message	 System time: 13:50:20	 Logical clock time: 147
Received message	 System time: 13:50:21	 Logical clock time: 157
Received message	 System time: 13:50:22	 Logical clock time: 158
Received message	 System time: 13:50:23	 Logical clock time: 161
Received message	 System time: 13:50:24	 Logical clock time: 163
Received message	 System time: 13:50:25	 Logical clock time: 164
Received message	 System time: 13:50:26	 Logical clock time: 165
Received message	 System time: 13:50:27	 Logical clock time: 166
Received message	 System time: 13:50:28	 Logical clock time: 167
Received message	 System time: 13:50:29	 Logical clock time: 168
Received message	 System time: 13:50:30	 Logical clock time: 170
Received message	 System time: 13:50:31	 Logical clock time: 172
Received message	 System time: 13:50:32	 Logical clock time: 173
Received message	 System time: 13:50:33	 Logical clock time: 175
Received message	 System time: 13:50:34	 Logical clock time: 178
Received message	 System time: 13:50:35	 Logical clock time: 183
Received message	 System time: 13:50:36	 Logical clock time: 184
Received message	 System time: 13:50:37	 Logical clock time: 187
Received message	 System time: 13:50:38	 Logical clock time: 188
Received message	 System time: 13:50:39	 Logical clock time: 190
Received message	 System time: 13:50:40	 Logical clock time: 191
Received message	 System time: 13:50:41	 Logical clock time: 194
Received message	 System time: 13:50:42	 Logical clock time: 197
Received message	 System time: 13:50:43	 Logical clock time: 198
Received message	 System time: 13:50:44	 Logical clock time: 199
Received message	 System time: 13:50:45	 Logical clock time: 204
Received message	 System time: 13:50:46	 Logical clock time: 207
Received message	 System time: 13:50:47	 Logical clock time: 209
Received message	 System time: 13:50:48	 Logical clock time: 210
Received message	 System time: 13:50:49	 Logical clock time: 213
Received message	 System time: 13:50:50	 Logical clock time: 215
Received message	 System time: 13:50:51	 Logical clock time: 216
