Process 1 has a clock rate of 5

Sent message:'0'	 System time: 13:24:54	 Logical clock time: 1
Sent message:'1'	 System time: 13:24:55	 Logical clock time: 2
Internal event	 System time: 13:24:55	 Logical clock time: 3
Internal event	 System time: 13:24:55	 Logical clock time: 4
Internal event	 System time: 13:24:55	 Logical clock time: 5
Internal event	 System time: 13:24:55	 Logical clock time: 6
Internal event	 System time: 13:24:56	 Logical clock time: 7
Sent message:'7'	 System time: 13:24:56	 Logical clock time: 8
Internal event	 System time: 13:24:56	 Logical clock time: 9
Internal event	 System time: 13:24:56	 Logical clock time: 10
Sent message:'10'	 System time: 13:24:56	 Logical clock time: 11
Internal event	 System time: 13:24:57	 Logical clock time: 12
Internal event	 System time: 13:24:57	 Logical clock time: 13
Sent message:'13'	 System time: 13:24:57	 Logical clock time: 14
Internal event	 System time: 13:24:57	 Logical clock time: 15
Internal event	 System time: 13:24:57	 Logical clock time: 16
Sent message:'16'	 System time: 13:24:58	 Logical clock time: 17
Internal event	 System time: 13:24:58	 Logical clock time: 18
Sent message:'18'	 System time: 13:24:58	 Logical clock time: 19
Internal event	 System time: 13:24:58	 Logical clock time: 20
Sent message:'20'	 System time: 13:24:59	 Logical clock time: 21
Sent message:'21'	 System time: 13:24:59	 Logical clock time: 22
Internal event	 System time: 13:24:59	 Logical clock time: 23
Internal event	 System time: 13:24:59	 Logical clock time: 24
Internal event	 System time: 13:24:59	 Logical clock time: 25
Internal event	 System time: 13:25:00	 Logical clock time: 26
Internal event	 System time: 13:25:00	 Logical clock time: 27
Internal event	 System time: 13:25:00	 Logical clock time: 28
Received message	 System time: 13:25:00	 Logical clock time: 29
Internal event	 System time: 13:25:00	 Logical clock time: 30
Internal event	 System time: 13:25:01	 Logical clock time: 31
Internal event	 System time: 13:25:01	 Logical clock time: 32
Received message	 System time: 13:25:01	 Logical clock time: 33
Internal event	 System time: 13:25:01	 Logical clock time: 34
Internal event	 System time: 13:25:01	 Logical clock time: 35
Internal event	 System time: 13:25:02	 Logical clock time: 36
Internal event	 System time: 13:25:02	 Logical clock time: 37
Received message	 System time: 13:25:02	 Logical clock time: 38
Sent message:'38'	 System time: 13:25:02	 Logical clock time: 39
Sent message:'39'	 System time: 13:25:02	 Logical clock time: 40
Sent message:'40'	 System time: 13:25:03	 Logical clock time: 41
Internal event	 System time: 13:25:03	 Logical clock time: 42
Sent message:'42'	 System time: 13:25:03	 Logical clock time: 43
Internal event	 System time: 13:25:03	 Logical clock time: 44
Sent message:'44'	 System time: 13:25:03	 Logical clock time: 45
Internal event	 System time: 13:25:04	 Logical clock time: 46
Internal event	 System time: 13:25:04	 Logical clock time: 47
Internal event	 System time: 13:25:04	 Logical clock time: 48
Sent message:'48'	 System time: 13:25:04	 Logical clock time: 49
Internal event	 System time: 13:25:04	 Logical clock time: 50
Internal event	 System time: 13:25:05	 Logical clock time: 51
Internal event	 System time: 13:25:05	 Logical clock time: 52
