Process 2 has a clock rate of 3

Sent message:'0'	 System time: 13:25:06	 Logical clock time: 1
Sent message:'1'	 System time: 13:25:06	 Logical clock time: 2
Internal event	 System time: 13:25:07	 Logical clock time: 3
Sent message:'3'	 System time: 13:25:07	 Logical clock time: 4
Received message	 System time: 13:25:07	 Logical clock time: 7
Internal event	 System time: 13:25:08	 Logical clock time: 8
Internal event	 System time: 13:25:08	 Logical clock time: 9
Sent message:'9'	 System time: 13:25:08	 Logical clock time: 10
Internal event	 System time: 13:25:09	 Logical clock time: 11
Sent message:'11'	 System time: 13:25:09	 Logical clock time: 12
Internal event	 System time: 13:25:09	 Logical clock time: 13
Internal event	 System time: 13:25:10	 Logical clock time: 14
Internal event	 System time: 13:25:10	 Logical clock time: 15
Received message	 System time: 13:25:10	 Logical clock time: 21
Sent message:'21'	 System time: 13:25:11	 Logical clock time: 22
Internal event	 System time: 13:25:11	 Logical clock time: 23
Internal event	 System time: 13:25:11	 Logical clock time: 24
Received message	 System time: 13:25:12	 Logical clock time: 28
Received message	 System time: 13:25:12	 Logical clock time: 30
Internal event	 System time: 13:25:12	 Logical clock time: 31
Internal event	 System time: 13:25:13	 Logical clock time: 32
Received message	 System time: 13:25:13	 Logical clock time: 34
Internal event	 System time: 13:25:13	 Logical clock time: 35
Sent message:'35'	 System time: 13:25:14	 Logical clock time: 36
Received message	 System time: 13:25:14	 Logical clock time: 39
Sent message:'39'	 System time: 13:25:14	 Logical clock time: 40
Internal event	 System time: 13:25:15	 Logical clock time: 41
Sent message:'41'	 System time: 13:25:15	 Logical clock time: 42
Sent message:'42'	 System time: 13:25:15	 Logical clock time: 43
Internal event	 System time: 13:25:16	 Logical clock time: 44
Internal event	 System time: 13:25:16	 Logical clock time: 45
Received message	 System time: 13:25:16	 Logical clock time: 51
Received message	 System time: 13:25:17	 Logical clock time: 52
Internal event	 System time: 13:25:17	 Logical clock time: 53
Received message	 System time: 13:25:17	 Logical clock time: 57
Sent message:'57'	 System time: 13:25:18	 Logical clock time: 58
Sent message:'58'	 System time: 13:25:18	 Logical clock time: 59
Internal event	 System time: 13:25:18	 Logical clock time: 60
Sent message:'60'	 System time: 13:25:19	 Logical clock time: 61
Internal event	 System time: 13:25:19	 Logical clock time: 62
Internal event	 System time: 13:25:19	 Logical clock time: 63
Received message	 System time: 13:25:20	 Logical clock time: 68
Sent message:'68'	 System time: 13:25:20	 Logical clock time: 69
Received message	 System time: 13:25:20	 Logical clock time: 71
Internal event	 System time: 13:25:21	 Logical clock time: 72
Internal event	 System time: 13:25:21	 Logical clock time: 73
Sent message:'73'	 System time: 13:25:22	 Logical clock time: 74
Internal event	 System time: 13:25:22	 Logical clock time: 75
Sent message:'75'	 System time: 13:25:22	 Logical clock time: 76
Internal event	 System time: 13:25:23	 Logical clock time: 77
Internal event	 System time: 13:25:23	 Logical clock time: 78
Received message	 System time: 13:25:23	 Logical clock time: 84
Sent message:'84'	 System time: 13:25:24	 Logical clock time: 85
Received message	 System time: 13:25:24	 Logical clock time: 88
Internal event	 System time: 13:25:24	 Logical clock time: 89
Sent message:'89'	 System time: 13:25:25	 Logical clock time: 90
Received message	 System time: 13:25:25	 Logical clock time: 93
Sent message:'93'	 System time: 13:25:25	 Logical clock time: 94
Sent message:'94'	 System time: 13:25:26	 Logical clock time: 95
Internal event	 System time: 13:25:26	 Logical clock time: 96
Internal event	 System time: 13:25:26	 Logical clock time: 97
Sent message:'97'	 System time: 13:25:27	 Logical clock time: 98
Internal event	 System time: 13:25:27	 Logical clock time: 99
Received message	 System time: 13:25:27	 Logical clock time: 105
Internal event	 System time: 13:25:28	 Logical clock time: 106
Received message	 System time: 13:25:28	 Logical clock time: 108
Internal event	 System time: 13:25:28	 Logical clock time: 109
Internal event	 System time: 13:25:29	 Logical clock time: 110
Received message	 System time: 13:25:29	 Logical clock time: 113
Internal event	 System time: 13:25:29	 Logical clock time: 114
Internal event	 System time: 13:25:30	 Logical clock time: 115
Received message	 System time: 13:25:30	 Logical clock time: 117
Internal event	 System time: 13:25:30	 Logical clock time: 118
Received message	 System time: 13:25:31	 Logical clock time: 120
Received message	 System time: 13:25:31	 Logical clock time: 123
Sent message:'123'	 System time: 13:25:31	 Logical clock time: 124
Internal event	 System time: 13:25:32	 Logical clock time: 125
Sent message:'125'	 System time: 13:25:32	 Logical clock time: 126
Sent message:'126'	 System time: 13:25:32	 Logical clock time: 127
Received message	 System time: 13:25:33	 Logical clock time: 130
Internal event	 System time: 13:25:33	 Logical clock time: 131
Received message	 System time: 13:25:33	 Logical clock time: 134
Received message	 System time: 13:25:34	 Logical clock time: 135
Received message	 System time: 13:25:34	 Logical clock time: 136
Internal event	 System time: 13:25:34	 Logical clock time: 137
Sent message:'137'	 System time: 13:25:35	 Logical clock time: 138
Internal event	 System time: 13:25:35	 Logical clock time: 139
Internal event	 System time: 13:25:35	 Logical clock time: 140
Received message	 System time: 13:25:36	 Logical clock time: 146
Internal event	 System time: 13:25:36	 Logical clock time: 147
Received message	 System time: 13:25:36	 Logical clock time: 149
Received message	 System time: 13:25:37	 Logical clock time: 151
Internal event	 System time: 13:25:37	 Logical clock time: 152
Internal event	 System time: 13:25:37	 Logical clock time: 153
Internal event	 System time: 13:25:38	 Logical clock time: 154
Internal event	 System time: 13:25:38	 Logical clock time: 155
Internal event	 System time: 13:25:38	 Logical clock time: 156
Internal event	 System time: 13:25:39	 Logical clock time: 157
Received message	 System time: 13:25:39	 Logical clock time: 163
Received message	 System time: 13:25:39	 Logical clock time: 164
Internal event	 System time: 13:25:40	 Logical clock time: 165
Internal event	 System time: 13:25:40	 Logical clock time: 166
Internal event	 System time: 13:25:40	 Logical clock time: 167
Received message	 System time: 13:25:41	 Logical clock time: 170
Internal event	 System time: 13:25:41	 Logical clock time: 171
Sent message:'171'	 System time: 13:25:41	 Logical clock time: 172
Sent message:'172'	 System time: 13:25:42	 Logical clock time: 173
Internal event	 System time: 13:25:42	 Logical clock time: 174
Received message	 System time: 13:25:42	 Logical clock time: 178
Received message	 System time: 13:25:43	 Logical clock time: 181
Internal event	 System time: 13:25:43	 Logical clock time: 182
Received message	 System time: 13:25:44	 Logical clock time: 183
Sent message:'183'	 System time: 13:25:44	 Logical clock time: 184
Sent message:'184'	 System time: 13:25:44	 Logical clock time: 185
Internal event	 System time: 13:25:45	 Logical clock time: 186
Internal event	 System time: 13:25:45	 Logical clock time: 187
Internal event	 System time: 13:25:45	 Logical clock time: 188
Internal event	 System time: 13:25:46	 Logical clock time: 189
Received message	 System time: 13:25:46	 Logical clock time: 195
Internal event	 System time: 13:25:46	 Logical clock time: 196
Internal event	 System time: 13:25:47	 Logical clock time: 197
Sent message:'197'	 System time: 13:25:47	 Logical clock time: 198
Sent message:'198'	 System time: 13:25:47	 Logical clock time: 199
Internal event	 System time: 13:25:48	 Logical clock time: 200
Internal event	 System time: 13:25:48	 Logical clock time: 201
Sent message:'201'	 System time: 13:25:48	 Logical clock time: 202
Sent message:'202'	 System time: 13:25:49	 Logical clock time: 203
Received message	 System time: 13:25:49	 Logical clock time: 210
Internal event	 System time: 13:25:49	 Logical clock time: 211
Internal event	 System time: 13:25:50	 Logical clock time: 212
Received message	 System time: 13:25:50	 Logical clock time: 214
Received message	 System time: 13:25:50	 Logical clock time: 216
Internal event	 System time: 13:25:51	 Logical clock time: 217
Sent message:'217'	 System time: 13:25:51	 Logical clock time: 218
Internal event	 System time: 13:25:51	 Logical clock time: 219
Internal event	 System time: 13:25:52	 Logical clock time: 220
Internal event	 System time: 13:25:52	 Logical clock time: 221
Sent message:'221'	 System time: 13:25:52	 Logical clock time: 222
Received message	 System time: 13:25:53	 Logical clock time: 228
Internal event	 System time: 13:25:53	 Logical clock time: 229
Internal event	 System time: 13:25:53	 Logical clock time: 230
Internal event	 System time: 13:25:54	 Logical clock time: 231
Internal event	 System time: 13:25:54	 Logical clock time: 232
Internal event	 System time: 13:25:54	 Logical clock time: 233
Internal event	 System time: 13:25:55	 Logical clock time: 234
Received message	 System time: 13:25:55	 Logical clock time: 239
Sent message:'239'	 System time: 13:25:55	 Logical clock time: 240
Received message	 System time: 13:25:56	 Logical clock time: 242
Internal event	 System time: 13:25:56	 Logical clock time: 243
Received message	 System time: 13:25:56	 Logical clock time: 246
Internal event	 System time: 13:25:57	 Logical clock time: 247
Sent message:'247'	 System time: 13:25:57	 Logical clock time: 248
Sent message:'248'	 System time: 13:25:57	 Logical clock time: 249
Internal event	 System time: 13:25:58	 Logical clock time: 250
Received message	 System time: 13:25:58	 Logical clock time: 255
Received message	 System time: 13:25:58	 Logical clock time: 256
Sent message:'256'	 System time: 13:25:59	 Logical clock time: 257
Internal event	 System time: 13:25:59	 Logical clock time: 258
Sent message:'258'	 System time: 13:25:59	 Logical clock time: 259
Received message	 System time: 13:26:00	 Logical clock time: 263
Internal event	 System time: 13:26:00	 Logical clock time: 264
Received message	 System time: 13:26:00	 Logical clock time: 266
Internal event	 System time: 13:26:01	 Logical clock time: 267
Internal event	 System time: 13:26:01	 Logical clock time: 268
Internal event	 System time: 13:26:01	 Logical clock time: 269
Sent message:'269'	 System time: 13:26:02	 Logical clock time: 270
Sent message:'270'	 System time: 13:26:02	 Logical clock time: 271
