Process 0 has a clock rate of 2

Sent message:'0'	 System time: 13:52:19	 Logical clock time: 1
Received message	 System time: 13:52:19	 Logical clock time: 2
Received message	 System time: 13:52:20	 Logical clock time: 4
Received message	 System time: 13:52:20	 Logical clock time: 5
Received message	 System time: 13:52:21	 Logical clock time: 8
Received message	 System time: 13:52:21	 Logical clock time: 9
Sent message:'9'	 System time: 13:52:22	 Logical clock time: 10
Sent message:'10'	 System time: 13:52:22	 Logical clock time: 11
Sent message:'11'	 System time: 13:52:23	 Logical clock time: 12
Internal event	 System time: 13:52:23	 Logical clock time: 13
Received message	 System time: 13:52:24	 Logical clock time: 19
Received message	 System time: 13:52:24	 Logical clock time: 20
Received message	 System time: 13:52:25	 Logical clock time: 21
Received message	 System time: 13:52:25	 Logical clock time: 22
Received message	 System time: 13:52:26	 Logical clock time: 24
Received message	 System time: 13:52:26	 Logical clock time: 26
Received message	 System time: 13:52:27	 Logical clock time: 27
Received message	 System time: 13:52:27	 Logical clock time: 28
Received message	 System time: 13:52:28	 Logical clock time: 30
Received message	 System time: 13:52:28	 Logical clock time: 32
Received message	 System time: 13:52:29	 Logical clock time: 34
Received message	 System time: 13:52:29	 Logical clock time: 35
Received message	 System time: 13:52:30	 Logical clock time: 37
Received message	 System time: 13:52:30	 Logical clock time: 41
Received message	 System time: 13:52:31	 Logical clock time: 42
Received message	 System time: 13:52:31	 Logical clock time: 45
Internal event	 System time: 13:52:32	 Logical clock time: 46
Received message	 System time: 13:52:32	 Logical clock time: 53
Received message	 System time: 13:52:33	 Logical clock time: 56
Received message	 System time: 13:52:33	 Logical clock time: 57
Received message	 System time: 13:52:34	 Logical clock time: 58
Received message	 System time: 13:52:34	 Logical clock time: 59
Received message	 System time: 13:52:35	 Logical clock time: 62
Received message	 System time: 13:52:35	 Logical clock time: 63
Received message	 System time: 13:52:36	 Logical clock time: 68
Received message	 System time: 13:52:36	 Logical clock time: 69
Received message	 System time: 13:52:37	 Logical clock time: 70
Received message	 System time: 13:52:37	 Logical clock time: 71
Received message	 System time: 13:52:38	 Logical clock time: 75
Received message	 System time: 13:52:38	 Logical clock time: 77
Received message	 System time: 13:52:39	 Logical clock time: 79
Received message	 System time: 13:52:39	 Logical clock time: 81
Received message	 System time: 13:52:40	 Logical clock time: 82
Received message	 System time: 13:52:40	 Logical clock time: 83
Received message	 System time: 13:52:41	 Logical clock time: 86
Received message	 System time: 13:52:41	 Logical clock time: 87
Received message	 System time: 13:52:42	 Logical clock time: 90
Received message	 System time: 13:52:42	 Logical clock time: 91
Received message	 System time: 13:52:43	 Logical clock time: 92
Received message	 System time: 13:52:43	 Logical clock time: 94
Received message	 System time: 13:52:44	 Logical clock time: 95
Received message	 System time: 13:52:44	 Logical clock time: 97
Received message	 System time: 13:52:45	 Logical clock time: 98
Received message	 System time: 13:52:45	 Logical clock time: 100
Received message	 System time: 13:52:46	 Logical clock time: 101
Received message	 System time: 13:52:46	 Logical clock time: 102
Received message	 System time: 13:52:47	 Logical clock time: 103
Received message	 System time: 13:52:47	 Logical clock time: 104
Received message	 System time: 13:52:48	 Logical clock time: 105
Received message	 System time: 13:52:49	 Logical clock time: 107
Received message	 System time: 13:52:49	 Logical clock time: 108
Received message	 System time: 13:52:50	 Logical clock time: 109
Received message	 System time: 13:52:50	 Logical clock time: 110
Received message	 System time: 13:52:51	 Logical clock time: 113
Received message	 System time: 13:52:51	 Logical clock time: 115
Received message	 System time: 13:52:52	 Logical clock time: 120
Received message	 System time: 13:52:52	 Logical clock time: 122
Received message	 System time: 13:52:53	 Logical clock time: 128
Received message	 System time: 13:52:53	 Logical clock time: 129
Received message	 System time: 13:52:54	 Logical clock time: 130
Received message	 System time: 13:52:54	 Logical clock time: 131
Received message	 System time: 13:52:55	 Logical clock time: 133
Received message	 System time: 13:52:55	 Logical clock time: 136
Received message	 System time: 13:52:56	 Logical clock time: 137
Received message	 System time: 13:52:56	 Logical clock time: 138
Received message	 System time: 13:52:57	 Logical clock time: 140
Received message	 System time: 13:52:57	 Logical clock time: 141
Received message	 System time: 13:52:58	 Logical clock time: 142
Received message	 System time: 13:52:58	 Logical clock time: 143
Received message	 System time: 13:52:59	 Logical clock time: 144
Received message	 System time: 13:52:59	 Logical clock time: 147
Received message	 System time: 13:53:00	 Logical clock time: 148
Received message	 System time: 13:53:00	 Logical clock time: 149
Received message	 System time: 13:53:01	 Logical clock time: 150
Received message	 System time: 13:53:01	 Logical clock time: 153
Received message	 System time: 13:53:02	 Logical clock time: 157
Received message	 System time: 13:53:02	 Logical clock time: 158
Received message	 System time: 13:53:03	 Logical clock time: 161
Received message	 System time: 13:53:03	 Logical clock time: 166
Received message	 System time: 13:53:04	 Logical clock time: 167
Received message	 System time: 13:53:04	 Logical clock time: 170
Received message	 System time: 13:53:05	 Logical clock time: 171
Received message	 System time: 13:53:05	 Logical clock time: 175
Received message	 System time: 13:53:06	 Logical clock time: 176
Received message	 System time: 13:53:06	 Logical clock time: 177
Received message	 System time: 13:53:07	 Logical clock time: 178
Received message	 System time: 13:53:07	 Logical clock time: 179
Received message	 System time: 13:53:08	 Logical clock time: 180
Received message	 System time: 13:53:08	 Logical clock time: 182
Received message	 System time: 13:53:09	 Logical clock time: 187
Received message	 System time: 13:53:09	 Logical clock time: 189
Received message	 System time: 13:53:10	 Logical clock time: 192
Received message	 System time: 13:53:10	 Logical clock time: 194
Received message	 System time: 13:53:11	 Logical clock time: 196
Received message	 System time: 13:53:11	 Logical clock time: 197
Received message	 System time: 13:53:12	 Logical clock time: 201
Received message	 System time: 13:53:12	 Logical clock time: 205
Received message	 System time: 13:53:13	 Logical clock time: 208
Received message	 System time: 13:53:13	 Logical clock time: 209
Received message	 System time: 13:53:14	 Logical clock time: 211
Received message	 System time: 13:53:14	 Logical clock time: 212
Received message	 System time: 13:53:15	 Logical clock time: 213
Received message	 System time: 13:53:15	 Logical clock time: 214
Received message	 System time: 13:53:16	 Logical clock time: 215
Received message	 System time: 13:53:16	 Logical clock time: 216
Received message	 System time: 13:53:17	 Logical clock time: 217
Received message	 System time: 13:53:17	 Logical clock time: 218
Received message	 System time: 13:53:18	 Logical clock time: 221
Received message	 System time: 13:53:18	 Logical clock time: 222
Received message	 System time: 13:53:19	 Logical clock time: 223
Received message	 System time: 13:53:19	 Logical clock time: 228
Received message	 System time: 13:53:20	 Logical clock time: 229
