Process 2 has a clock rate of 1

Sent message:'0'	 System time: 13:52:19	 Logical clock time: 1
Received message	 System time: 13:52:20	 Logical clock time: 2
Received message	 System time: 13:52:21	 Logical clock time: 3
Received message	 System time: 13:52:22	 Logical clock time: 5
Received message	 System time: 13:52:23	 Logical clock time: 6
Received message	 System time: 13:52:24	 Logical clock time: 7
Received message	 System time: 13:52:25	 Logical clock time: 9
Received message	 System time: 13:52:26	 Logical clock time: 12
Received message	 System time: 13:52:27	 Logical clock time: 16
Received message	 System time: 13:52:28	 Logical clock time: 17
Received message	 System time: 13:52:29	 Logical clock time: 19
Received message	 System time: 13:52:30	 Logical clock time: 21
Received message	 System time: 13:52:31	 Logical clock time: 22
Received message	 System time: 13:52:32	 Logical clock time: 24
Received message	 System time: 13:52:33	 Logical clock time: 25
Received message	 System time: 13:52:34	 Logical clock time: 27
Received message	 System time: 13:52:35	 Logical clock time: 28
Received message	 System time: 13:52:36	 Logical clock time: 33
Received message	 System time: 13:52:37	 Logical clock time: 35
Received message	 System time: 13:52:38	 Logical clock time: 37
Received message	 System time: 13:52:39	 Logical clock time: 38
Received message	 System time: 13:52:40	 Logical clock time: 40
Received message	 System time: 13:52:41	 Logical clock time: 42
Received message	 System time: 13:52:42	 Logical clock time: 44
Received message	 System time: 13:52:43	 Logical clock time: 45
Received message	 System time: 13:52:44	 Logical clock time: 49
Received message	 System time: 13:52:45	 Logical clock time: 50
Received message	 System time: 13:52:46	 Logical clock time: 51
Received message	 System time: 13:52:47	 Logical clock time: 53
Received message	 System time: 13:52:48	 Logical clock time: 57
Received message	 System time: 13:52:49	 Logical clock time: 58
Received message	 System time: 13:52:50	 Logical clock time: 59
Received message	 System time: 13:52:51	 Logical clock time: 64
Received message	 System time: 13:52:52	 Logical clock time: 67
Received message	 System time: 13:52:53	 Logical clock time: 71
Received message	 System time: 13:52:54	 Logical clock time: 74
Received message	 System time: 13:52:55	 Logical clock time: 79
Received message	 System time: 13:52:56	 Logical clock time: 80
Received message	 System time: 13:52:57	 Logical clock time: 83
Received message	 System time: 13:52:58	 Logical clock time: 87
Received message	 System time: 13:52:59	 Logical clock time: 91
Received message	 System time: 13:53:00	 Logical clock time: 92
Received message	 System time: 13:53:01	 Logical clock time: 93
Received message	 System time: 13:53:02	 Logical clock time: 96
Received message	 System time: 13:53:03	 Logical clock time: 98
Received message	 System time: 13:53:04	 Logical clock time: 102
Received message	 System time: 13:53:05	 Logical clock time: 103
Received message	 System time: 13:53:06	 Logical clock time: 105
Received message	 System time: 13:53:07	 Logical clock time: 107
Received message	 System time: 13:53:08	 Logical clock time: 108
Received message	 System time: 13:53:09	 Logical clock time: 109
Received message	 System time: 13:53:10	 Logical clock time: 112
Received message	 System time: 13:53:11	 Logical clock time: 115
Received message	 System time: 13:53:12	 Logical clock time: 116
Received message	 System time: 13:53:13	 Logical clock time: 117
Received message	 System time: 13:53:14	 Logical clock time: 119
Received message	 System time: 13:53:15	 Logical clock time: 120
Received message	 System time: 13:53:16	 Logical clock time: 121
Received message	 System time: 13:53:17	 Logical clock time: 122
Received message	 System time: 13:53:18	 Logical clock time: 123
Received message	 System time: 13:53:19	 Logical clock time: 124
Received message	 System time: 13:53:20	 Logical clock time: 125
Received message	 System time: 13:53:21	 Logical clock time: 127
Received message	 System time: 13:53:22	 Logical clock time: 130
Received message	 System time: 13:53:23	 Logical clock time: 131
Received message	 System time: 13:53:24	 Logical clock time: 134
Received message	 System time: 13:53:25	 Logical clock time: 135
Received message	 System time: 13:53:26	 Logical clock time: 137
Received message	 System time: 13:53:27	 Logical clock time: 139
Received message	 System time: 13:53:28	 Logical clock time: 140
Received message	 System time: 13:53:29	 Logical clock time: 141
Received message	 System time: 13:53:30	 Logical clock time: 144
Received message	 System time: 13:53:31	 Logical clock time: 145
Received message	 System time: 13:53:32	 Logical clock time: 146
Received message	 System time: 13:53:33	 Logical clock time: 147
Received message	 System time: 13:53:34	 Logical clock time: 149
Received message	 System time: 13:53:35	 Logical clock time: 150
Received message	 System time: 13:53:36	 Logical clock time: 151
Received message	 System time: 13:53:37	 Logical clock time: 152
Received message	 System time: 13:53:38	 Logical clock time: 153
Received message	 System time: 13:53:39	 Logical clock time: 157
Received message	 System time: 13:53:40	 Logical clock time: 160
Received message	 System time: 13:53:41	 Logical clock time: 161
