Process 1 has a clock rate of 2

Sent message:'0'	 System time: 13:48:58	 Logical clock time: 1
Received message	 System time: 13:48:59	 Logical clock time: 2
Received message	 System time: 13:48:59	 Logical clock time: 3
Received message	 System time: 13:49:00	 Logical clock time: 4
Received message	 System time: 13:49:00	 Logical clock time: 5
Received message	 System time: 13:49:01	 Logical clock time: 7
Received message	 System time: 13:49:01	 Logical clock time: 8
Received message	 System time: 13:49:02	 Logical clock time: 9
Received message	 System time: 13:49:03	 Logical clock time: 12
Received message	 System time: 13:49:03	 Logical clock time: 15
Received message	 System time: 13:49:04	 Logical clock time: 17
Received message	 System time: 13:49:04	 Logical clock time: 18
Received message	 System time: 13:49:05	 Logical clock time: 19
Received message	 System time: 13:49:05	 Logical clock time: 21
Received message	 System time: 13:49:06	 Logical clock time: 22
Received message	 System time: 13:49:06	 Logical clock time: 23
Received message	 System time: 13:49:07	 Logical clock time: 24
Received message	 System time: 13:49:07	 Logical clock time: 25
Received message	 System time: 13:49:08	 Logical clock time: 26
Received message	 System time: 13:49:08	 Logical clock time: 28
Received message	 System time: 13:49:09	 Logical clock time: 30
Received message	 System time: 13:49:09	 Logical clock time: 32
Received message	 System time: 13:49:10	 Logical clock time: 33
Received message	 System time: 13:49:10	 Logical clock time: 34
Received message	 System time: 13:49:11	 Logical clock time: 35
Received message	 System time: 13:49:11	 Logical clock time: 38
Received message	 System time: 13:49:12	 Logical clock time: 39
Received message	 System time: 13:49:12	 Logical clock time: 41
Received message	 System time: 13:49:13	 Logical clock time: 42
Received message	 System time: 13:49:13	 Logical clock time: 43
Received message	 System time: 13:49:14	 Logical clock time: 46
Received message	 System time: 13:49:14	 Logical clock time: 47
Received message	 System time: 13:49:15	 Logical clock time: 49
Received message	 System time: 13:49:15	 Logical clock time: 50
Received message	 System time: 13:49:16	 Logical clock time: 52
Received message	 System time: 13:49:16	 Logical clock time: 53
Received message	 System time: 13:49:17	 Logical clock time: 54
Received message	 System time: 13:49:17	 Logical clock time: 55
Received message	 System time: 13:49:18	 Logical clock time: 58
Received message	 System time: 13:49:18	 Logical clock time: 62
Received message	 System time: 13:49:19	 Logical clock time: 63
Received message	 System time: 13:49:19	 Logical clock time: 65
Received message	 System time: 13:49:20	 Logical clock time: 66
Received message	 System time: 13:49:20	 Logical clock time: 68
Received message	 System time: 13:49:21	 Logical clock time: 70
Received message	 System time: 13:49:21	 Logical clock time: 72
Received message	 System time: 13:49:22	 Logical clock time: 73
Received message	 System time: 13:49:22	 Logical clock time: 75
Received message	 System time: 13:49:23	 Logical clock time: 77
Received message	 System time: 13:49:23	 Logical clock time: 78
Received message	 System time: 13:49:24	 Logical clock time: 81
Received message	 System time: 13:49:24	 Logical clock time: 83
Received message	 System time: 13:49:25	 Logical clock time: 84
Received message	 System time: 13:49:25	 Logical clock time: 85
Received message	 System time: 13:49:26	 Logical clock time: 87
Received message	 System time: 13:49:26	 Logical clock time: 90
Received message	 System time: 13:49:27	 Logical clock time: 91
Received message	 System time: 13:49:27	 Logical clock time: 93
Received message	 System time: 13:49:28	 Logical clock time: 94
Received message	 System time: 13:49:28	 Logical clock time: 96
Received message	 System time: 13:49:29	 Logical clock time: 97
Received message	 System time: 13:49:29	 Logical clock time: 99
Received message	 System time: 13:49:30	 Logical clock time: 101
Received message	 System time: 13:49:30	 Logical clock time: 103
Received message	 System time: 13:49:31	 Logical clock time: 104
Received message	 System time: 13:49:31	 Logical clock time: 106
Received message	 System time: 13:49:32	 Logical clock time: 111
Received message	 System time: 13:49:32	 Logical clock time: 113
Received message	 System time: 13:49:33	 Logical clock time: 115
Received message	 System time: 13:49:33	 Logical clock time: 116
Received message	 System time: 13:49:34	 Logical clock time: 118
Received message	 System time: 13:49:34	 Logical clock time: 120
Received message	 System time: 13:49:35	 Logical clock time: 122
Received message	 System time: 13:49:35	 Logical clock time: 123
Received message	 System time: 13:49:36	 Logical clock time: 131
Received message	 System time: 13:49:36	 Logical clock time: 135
Received message	 System time: 13:49:37	 Logical clock time: 136
Received message	 System time: 13:49:37	 Logical clock time: 138
Received message	 System time: 13:49:38	 Logical clock time: 139
Received message	 System time: 13:49:38	 Logical clock time: 140
Received message	 System time: 13:49:39	 Logical clock time: 141
Received message	 System time: 13:49:39	 Logical clock time: 144
Received message	 System time: 13:49:40	 Logical clock time: 145
Received message	 System time: 13:49:40	 Logical clock time: 146
Received message	 System time: 13:49:41	 Logical clock time: 147
Received message	 System time: 13:49:41	 Logical clock time: 148
Received message	 System time: 13:49:42	 Logical clock time: 150
Received message	 System time: 13:49:42	 Logical clock time: 153
Received message	 System time: 13:49:43	 Logical clock time: 154
Received message	 System time: 13:49:43	 Logical clock time: 158
Received message	 System time: 13:49:44	 Logical clock time: 159
Received message	 System time: 13:49:44	 Logical clock time: 160
Received message	 System time: 13:49:45	 Logical clock time: 161
Received message	 System time: 13:49:45	 Logical clock time: 164
Received message	 System time: 13:49:46	 Logical clock time: 166
Received message	 System time: 13:49:46	 Logical clock time: 168
Received message	 System time: 13:49:47	 Logical clock time: 169
Received message	 System time: 13:49:47	 Logical clock time: 174
Received message	 System time: 13:49:48	 Logical clock time: 180
Received message	 System time: 13:49:48	 Logical clock time: 181
Received message	 System time: 13:49:49	 Logical clock time: 182
Received message	 System time: 13:49:49	 Logical clock time: 185
Received message	 System time: 13:49:50	 Logical clock time: 191
Received message	 System time: 13:49:50	 Logical clock time: 192
Received message	 System time: 13:49:51	 Logical clock time: 194
Received message	 System time: 13:49:52	 Logical clock time: 197
Received message	 System time: 13:49:52	 Logical clock time: 198
Received message	 System time: 13:49:53	 Logical clock time: 199
Received message	 System time: 13:49:53	 Logical clock time: 201
Received message	 System time: 13:49:54	 Logical clock time: 204
Received message	 System time: 13:49:54	 Logical clock time: 205
