Process 2 has a clock rate of 1

Sent message:'0'	 System time: 10:30:45	 Logical clock time: 1
Received message	 System time: 10:30:46	 Logical clock time: 2
Sent message:'2'	 System time: 10:30:47	 Logical clock time: 3
Internal event	 System time: 10:30:48	 Logical clock time: 4
Sent message:'4'	 System time: 10:30:49	 Logical clock time: 5
Received message	 System time: 10:30:50	 Logical clock time: 6
Sent message:'6'	 System time: 10:30:51	 Logical clock time: 7
Internal event	 System time: 10:30:52	 Logical clock time: 8
Sent message:'8'	 System time: 10:30:53	 Logical clock time: 9
Internal event	 System time: 10:30:54	 Logical clock time: 10
Sent message:'10'	 System time: 10:30:55	 Logical clock time: 11
Sent message:'11'	 System time: 10:30:56	 Logical clock time: 12
Sent message:'12'	 System time: 10:30:57	 Logical clock time: 13
Received message	 System time: 10:30:58	 Logical clock time: 14
Internal event	 System time: 10:30:59	 Logical clock time: 15
Received message	 System time: 10:31:00	 Logical clock time: 16
Received message	 System time: 10:31:01	 Logical clock time: 17
Received message	 System time: 10:31:02	 Logical clock time: 18
Internal event	 System time: 10:31:03	 Logical clock time: 19
Sent message:'19'	 System time: 10:31:04	 Logical clock time: 20
Sent message:'20'	 System time: 10:31:05	 Logical clock time: 21
Received message	 System time: 10:31:06	 Logical clock time: 22
Sent message:'22'	 System time: 10:31:07	 Logical clock time: 23
Sent message:'23'	 System time: 10:31:08	 Logical clock time: 24
Sent message:'24'	 System time: 10:31:09	 Logical clock time: 25
Sent message:'25'	 System time: 10:31:10	 Logical clock time: 26
Received message	 System time: 10:31:11	 Logical clock time: 27
Sent message:'27'	 System time: 10:31:12	 Logical clock time: 28
Received message	 System time: 10:31:13	 Logical clock time: 29
Sent message:'29'	 System time: 10:31:14	 Logical clock time: 30
Sent message:'30'	 System time: 10:31:15	 Logical clock time: 31
Sent message:'31'	 System time: 10:31:16	 Logical clock time: 32
Sent message:'32'	 System time: 10:31:17	 Logical clock time: 33
Sent message:'33'	 System time: 10:31:18	 Logical clock time: 34
Sent message:'34'	 System time: 10:31:19	 Logical clock time: 35
Sent message:'35'	 System time: 10:31:20	 Logical clock time: 36
Sent message:'36'	 System time: 10:31:21	 Logical clock time: 37
Sent message:'37'	 System time: 10:31:22	 Logical clock time: 38
Sent message:'38'	 System time: 10:31:23	 Logical clock time: 39
Sent message:'39'	 System time: 10:31:24	 Logical clock time: 40
Internal event	 System time: 10:31:25	 Logical clock time: 41
Received message	 System time: 10:31:26	 Logical clock time: 42
Received message	 System time: 10:31:27	 Logical clock time: 43
Received message	 System time: 10:31:28	 Logical clock time: 44
Received message	 System time: 10:31:29	 Logical clock time: 45
Received message	 System time: 10:31:30	 Logical clock time: 46
Sent message:'46'	 System time: 10:31:31	 Logical clock time: 47
Internal event	 System time: 10:31:32	 Logical clock time: 48
Received message	 System time: 10:31:33	 Logical clock time: 49
Received message	 System time: 10:31:34	 Logical clock time: 50
Sent message:'50'	 System time: 10:31:35	 Logical clock time: 51
Received message	 System time: 10:31:36	 Logical clock time: 52
Sent message:'52'	 System time: 10:31:37	 Logical clock time: 53
Received message	 System time: 10:31:38	 Logical clock time: 54
Sent message:'54'	 System time: 10:31:39	 Logical clock time: 55
Internal event	 System time: 10:31:40	 Logical clock time: 56
Received message	 System time: 10:31:41	 Logical clock time: 57
Received message	 System time: 10:31:42	 Logical clock time: 58
Received message	 System time: 10:31:43	 Logical clock time: 59
Sent message:'59'	 System time: 10:31:44	 Logical clock time: 60
Sent message:'60'	 System time: 10:31:45	 Logical clock time: 61
Internal event	 System time: 10:31:46	 Logical clock time: 62
Sent message:'62'	 System time: 10:31:47	 Logical clock time: 63
Received message	 System time: 10:31:48	 Logical clock time: 64
Sent message:'64'	 System time: 10:31:49	 Logical clock time: 65
Sent message:'65'	 System time: 10:31:50	 Logical clock time: 66
Sent message:'66'	 System time: 10:31:51	 Logical clock time: 67
Sent message:'67'	 System time: 10:31:52	 Logical clock time: 68
Internal event	 System time: 10:31:53	 Logical clock time: 69
Received message	 System time: 10:31:54	 Logical clock time: 70
