Process 1 has a clock rate of 3

Sent message:'0'	 System time: 13:25:37	 Logical clock time: 1
Sent message:'1'	 System time: 13:25:38	 Logical clock time: 2
Internal event	 System time: 13:25:38	 Logical clock time: 3
Received message	 System time: 13:25:38	 Logical clock time: 4
Internal event	 System time: 13:25:39	 Logical clock time: 5
Sent message:'5'	 System time: 13:25:39	 Logical clock time: 6
Internal event	 System time: 13:25:39	 Logical clock time: 7
Received message	 System time: 13:25:40	 Logical clock time: 9
Internal event	 System time: 13:25:40	 Logical clock time: 10
Received message	 System time: 13:25:40	 Logical clock time: 12
Received message	 System time: 13:25:41	 Logical clock time: 14
Received message	 System time: 13:25:41	 Logical clock time: 15
Received message	 System time: 13:25:41	 Logical clock time: 16
Internal event	 System time: 13:25:42	 Logical clock time: 17
Internal event	 System time: 13:25:42	 Logical clock time: 18
Internal event	 System time: 13:25:43	 Logical clock time: 19
Sent message:'19'	 System time: 13:25:43	 Logical clock time: 20
Internal event	 System time: 13:25:43	 Logical clock time: 21
Sent message:'21'	 System time: 13:25:44	 Logical clock time: 22
Received message	 System time: 13:25:44	 Logical clock time: 26
Received message	 System time: 13:25:44	 Logical clock time: 27
Internal event	 System time: 13:25:45	 Logical clock time: 28
Internal event	 System time: 13:25:45	 Logical clock time: 29
Internal event	 System time: 13:25:45	 Logical clock time: 30
Internal event	 System time: 13:25:46	 Logical clock time: 31
Internal event	 System time: 13:25:46	 Logical clock time: 32
Internal event	 System time: 13:25:46	 Logical clock time: 33
Received message	 System time: 13:25:47	 Logical clock time: 36
Internal event	 System time: 13:25:47	 Logical clock time: 37
Received message	 System time: 13:25:47	 Logical clock time: 39
Sent message:'39'	 System time: 13:25:48	 Logical clock time: 40
Internal event	 System time: 13:25:48	 Logical clock time: 41
Internal event	 System time: 13:25:48	 Logical clock time: 42
Internal event	 System time: 13:25:49	 Logical clock time: 43
Internal event	 System time: 13:25:49	 Logical clock time: 44
Internal event	 System time: 13:25:49	 Logical clock time: 45
Sent message:'45'	 System time: 13:25:50	 Logical clock time: 46
Sent message:'46'	 System time: 13:25:50	 Logical clock time: 47
Internal event	 System time: 13:25:50	 Logical clock time: 48
Internal event	 System time: 13:25:51	 Logical clock time: 49
Internal event	 System time: 13:25:51	 Logical clock time: 50
Internal event	 System time: 13:25:51	 Logical clock time: 51
Received message	 System time: 13:25:52	 Logical clock time: 56
Sent message:'56'	 System time: 13:25:52	 Logical clock time: 57
Internal event	 System time: 13:25:52	 Logical clock time: 58
Received message	 System time: 13:25:53	 Logical clock time: 60
Internal event	 System time: 13:25:53	 Logical clock time: 61
Internal event	 System time: 13:25:53	 Logical clock time: 62
Sent message:'62'	 System time: 13:25:54	 Logical clock time: 63
Internal event	 System time: 13:25:54	 Logical clock time: 64
Internal event	 System time: 13:25:54	 Logical clock time: 65
Sent message:'65'	 System time: 13:25:55	 Logical clock time: 66
Internal event	 System time: 13:25:55	 Logical clock time: 67
Received message	 System time: 13:25:55	 Logical clock time: 70
Internal event	 System time: 13:25:56	 Logical clock time: 71
Received message	 System time: 13:25:56	 Logical clock time: 73
Received message	 System time: 13:25:56	 Logical clock time: 74
Internal event	 System time: 13:25:57	 Logical clock time: 75
Received message	 System time: 13:25:57	 Logical clock time: 77
Internal event	 System time: 13:25:57	 Logical clock time: 78
Received message	 System time: 13:25:58	 Logical clock time: 80
Internal event	 System time: 13:25:58	 Logical clock time: 81
Internal event	 System time: 13:25:58	 Logical clock time: 82
Internal event	 System time: 13:25:59	 Logical clock time: 83
Internal event	 System time: 13:25:59	 Logical clock time: 84
Internal event	 System time: 13:25:59	 Logical clock time: 85
Internal event	 System time: 13:26:00	 Logical clock time: 86
Sent message:'86'	 System time: 13:26:00	 Logical clock time: 87
Internal event	 System time: 13:26:00	 Logical clock time: 88
Received message	 System time: 13:26:01	 Logical clock time: 92
Received message	 System time: 13:26:01	 Logical clock time: 93
Received message	 System time: 13:26:01	 Logical clock time: 94
Internal event	 System time: 13:26:02	 Logical clock time: 95
Sent message:'95'	 System time: 13:26:02	 Logical clock time: 96
Received message	 System time: 13:26:02	 Logical clock time: 98
Received message	 System time: 13:26:03	 Logical clock time: 99
Received message	 System time: 13:26:03	 Logical clock time: 101
Sent message:'101'	 System time: 13:26:03	 Logical clock time: 102
Received message	 System time: 13:26:04	 Logical clock time: 104
Sent message:'104'	 System time: 13:26:04	 Logical clock time: 105
Internal event	 System time: 13:26:05	 Logical clock time: 106
Sent message:'106'	 System time: 13:26:05	 Logical clock time: 107
Internal event	 System time: 13:26:05	 Logical clock time: 108
Sent message:'108'	 System time: 13:26:06	 Logical clock time: 109
Internal event	 System time: 13:26:06	 Logical clock time: 110
Internal event	 System time: 13:26:06	 Logical clock time: 111
Received message	 System time: 13:26:07	 Logical clock time: 114
Sent message:'114'	 System time: 13:26:07	 Logical clock time: 115
Sent message:'115'	 System time: 13:26:07	 Logical clock time: 116
Internal event	 System time: 13:26:08	 Logical clock time: 117
Internal event	 System time: 13:26:08	 Logical clock time: 118
Internal event	 System time: 13:26:08	 Logical clock time: 119
Internal event	 System time: 13:26:09	 Logical clock time: 120
Received message	 System time: 13:26:09	 Logical clock time: 123
Received message	 System time: 13:26:09	 Logical clock time: 125
Internal event	 System time: 13:26:10	 Logical clock time: 126
Received message	 System time: 13:26:10	 Logical clock time: 127
Sent message:'127'	 System time: 13:26:10	 Logical clock time: 128
Internal event	 System time: 13:26:11	 Logical clock time: 129
Internal event	 System time: 13:26:11	 Logical clock time: 130
Internal event	 System time: 13:26:11	 Logical clock time: 131
Received message	 System time: 13:26:12	 Logical clock time: 134
Internal event	 System time: 13:26:12	 Logical clock time: 135
Received message	 System time: 13:26:12	 Logical clock time: 136
Received message	 System time: 13:26:13	 Logical clock time: 137
Sent message:'137'	 System time: 13:26:13	 Logical clock time: 138
Internal event	 System time: 13:26:13	 Logical clock time: 139
Internal event	 System time: 13:26:14	 Logical clock time: 140
Internal event	 System time: 13:26:14	 Logical clock time: 141
Sent message:'141'	 System time: 13:26:14	 Logical clock time: 142
Sent message:'142'	 System time: 13:26:15	 Logical clock time: 143
Internal event	 System time: 13:26:15	 Logical clock time: 144
Received message	 System time: 13:26:15	 Logical clock time: 149
Sent message:'149'	 System time: 13:26:16	 Logical clock time: 150
Sent message:'150'	 System time: 13:26:16	 Logical clock time: 151
Received message	 System time: 13:26:16	 Logical clock time: 153
Sent message:'153'	 System time: 13:26:17	 Logical clock time: 154
Internal event	 System time: 13:26:17	 Logical clock time: 155
Internal event	 System time: 13:26:17	 Logical clock time: 156
Internal event	 System time: 13:26:18	 Logical clock time: 157
Internal event	 System time: 13:26:18	 Logical clock time: 158
Sent message:'158'	 System time: 13:26:18	 Logical clock time: 159
Internal event	 System time: 13:26:19	 Logical clock time: 160
Internal event	 System time: 13:26:19	 Logical clock time: 161
Internal event	 System time: 13:26:19	 Logical clock time: 162
Internal event	 System time: 13:26:20	 Logical clock time: 163
Received message	 System time: 13:26:20	 Logical clock time: 167
Internal event	 System time: 13:26:20	 Logical clock time: 168
Internal event	 System time: 13:26:21	 Logical clock time: 169
Sent message:'169'	 System time: 13:26:21	 Logical clock time: 170
Internal event	 System time: 13:26:21	 Logical clock time: 171
Internal event	 System time: 13:26:22	 Logical clock time: 172
Internal event	 System time: 13:26:22	 Logical clock time: 173
Internal event	 System time: 13:26:22	 Logical clock time: 174
Internal event	 System time: 13:26:23	 Logical clock time: 175
Internal event	 System time: 13:26:23	 Logical clock time: 176
Sent message:'176'	 System time: 13:26:23	 Logical clock time: 177
Internal event	 System time: 13:26:24	 Logical clock time: 178
Sent message:'178'	 System time: 13:26:24	 Logical clock time: 179
Sent message:'179'	 System time: 13:26:24	 Logical clock time: 180
Internal event	 System time: 13:26:25	 Logical clock time: 181
Internal event	 System time: 13:26:25	 Logical clock time: 182
Sent message:'182'	 System time: 13:26:25	 Logical clock time: 183
Internal event	 System time: 13:26:26	 Logical clock time: 184
Internal event	 System time: 13:26:26	 Logical clock time: 185
Received message	 System time: 13:26:27	 Logical clock time: 193
Internal event	 System time: 13:26:27	 Logical clock time: 194
Internal event	 System time: 13:26:27	 Logical clock time: 195
Sent message:'195'	 System time: 13:26:28	 Logical clock time: 196
Sent message:'196'	 System time: 13:26:28	 Logical clock time: 197
Internal event	 System time: 13:26:28	 Logical clock time: 198
Internal event	 System time: 13:26:29	 Logical clock time: 199
Sent message:'199'	 System time: 13:26:29	 Logical clock time: 200
Sent message:'200'	 System time: 13:26:29	 Logical clock time: 201
Sent message:'201'	 System time: 13:26:30	 Logical clock time: 202
Received message	 System time: 13:26:30	 Logical clock time: 206
Received message	 System time: 13:26:30	 Logical clock time: 207
Internal event	 System time: 13:26:31	 Logical clock time: 208
Internal event	 System time: 13:26:31	 Logical clock time: 209
Received message	 System time: 13:26:31	 Logical clock time: 211
Sent message:'211'	 System time: 13:26:32	 Logical clock time: 212
Internal event	 System time: 13:26:32	 Logical clock time: 213
Sent message:'213'	 System time: 13:26:32	 Logical clock time: 214
Sent message:'214'	 System time: 13:26:33	 Logical clock time: 215
Internal event	 System time: 13:26:33	 Logical clock time: 216
Sent message:'216'	 System time: 13:26:33	 Logical clock time: 217
Internal event	 System time: 13:26:34	 Logical clock time: 218
Internal event	 System time: 13:26:34	 Logical clock time: 219
Received message	 System time: 13:26:34	 Logical clock time: 223
Internal event	 System time: 13:26:35	 Logical clock time: 224
Internal event	 System time: 13:26:35	 Logical clock time: 225
Internal event	 System time: 13:26:35	 Logical clock time: 226
Internal event	 System time: 13:26:36	 Logical clock time: 227
Internal event	 System time: 13:26:36	 Logical clock time: 228
Received message	 System time: 13:26:36	 Logical clock time: 231
Internal event	 System time: 13:26:37	 Logical clock time: 232
Received message	 System time: 13:26:37	 Logical clock time: 234
Internal event	 System time: 13:26:37	 Logical clock time: 235
Internal event	 System time: 13:26:38	 Logical clock time: 236
Sent message:'236'	 System time: 13:26:38	 Logical clock time: 237
Internal event	 System time: 13:26:38	 Logical clock time: 238
Sent message:'238'	 System time: 13:26:39	 Logical clock time: 239
Sent message:'239'	 System time: 13:26:39	 Logical clock time: 240
Internal event	 System time: 13:26:39	 Logical clock time: 241
Sent message:'241'	 System time: 13:26:40	 Logical clock time: 242
Received message	 System time: 13:26:40	 Logical clock time: 246
Received message	 System time: 13:26:40	 Logical clock time: 247
Sent message:'247'	 System time: 13:26:41	 Logical clock time: 248
Internal event	 System time: 13:26:41	 Logical clock time: 249
Sent message:'249'	 System time: 13:26:41	 Logical clock time: 250
Internal event	 System time: 13:26:42	 Logical clock time: 251
Received message	 System time: 13:26:42	 Logical clock time: 253
Received message	 System time: 13:26:42	 Logical clock time: 254
Received message	 System time: 13:26:43	 Logical clock time: 255
Received message	 System time: 13:26:43	 Logical clock time: 258
Internal event	 System time: 13:26:43	 Logical clock time: 259
Sent message:'259'	 System time: 13:26:44	 Logical clock time: 260
Received message	 System time: 13:26:44	 Logical clock time: 262
Internal event	 System time: 13:26:44	 Logical clock time: 263
Internal event	 System time: 13:26:45	 Logical clock time: 264
Received message	 System time: 13:26:45	 Logical clock time: 266
Internal event	 System time: 13:26:45	 Logical clock time: 267
Internal event	 System time: 13:26:46	 Logical clock time: 268
Internal event	 System time: 13:26:46	 Logical clock time: 269
Internal event	 System time: 13:26:46	 Logical clock time: 270
Received message	 System time: 13:26:47	 Logical clock time: 272
Received message	 System time: 13:26:47	 Logical clock time: 274
Received message	 System time: 13:26:48	 Logical clock time: 275
Received message	 System time: 13:26:48	 Logical clock time: 276
Sent message:'276'	 System time: 13:26:48	 Logical clock time: 277
Received message	 System time: 13:26:49	 Logical clock time: 279
Internal event	 System time: 13:26:49	 Logical clock time: 280
Internal event	 System time: 13:26:49	 Logical clock time: 281
Received message	 System time: 13:26:50	 Logical clock time: 283
Internal event	 System time: 13:26:50	 Logical clock time: 284
Sent message:'284'	 System time: 13:26:50	 Logical clock time: 285
Sent message:'285'	 System time: 13:26:51	 Logical clock time: 286
Internal event	 System time: 13:26:51	 Logical clock time: 287
Internal event	 System time: 13:26:51	 Logical clock time: 288
Internal event	 System time: 13:26:52	 Logical clock time: 289
Internal event	 System time: 13:26:52	 Logical clock time: 290
Received message	 System time: 13:26:52	 Logical clock time: 293
Internal event	 System time: 13:26:53	 Logical clock time: 294
Sent message:'294'	 System time: 13:26:53	 Logical clock time: 295
Received message	 System time: 13:26:53	 Logical clock time: 298
Internal event	 System time: 13:26:54	 Logical clock time: 299
Internal event	 System time: 13:26:54	 Logical clock time: 300
Received message	 System time: 13:26:54	 Logical clock time: 301
Received message	 System time: 13:26:55	 Logical clock time: 303
Sent message:'303'	 System time: 13:26:55	 Logical clock time: 304
Received message	 System time: 13:26:55	 Logical clock time: 305
Received message	 System time: 13:26:56	 Logical clock time: 307
Received message	 System time: 13:26:56	 Logical clock time: 308
Internal event	 System time: 13:26:56	 Logical clock time: 309
Internal event	 System time: 13:26:57	 Logical clock time: 310
Received message	 System time: 13:26:57	 Logical clock time: 312
Internal event	 System time: 13:26:57	 Logical clock time: 313
Internal event	 System time: 13:26:58	 Logical clock time: 314
Internal event	 System time: 13:26:58	 Logical clock time: 315
Received message	 System time: 13:26:58	 Logical clock time: 317
Received message	 System time: 13:26:59	 Logical clock time: 318
Internal event	 System time: 13:26:59	 Logical clock time: 319
Internal event	 System time: 13:26:59	 Logical clock time: 320
Received message	 System time: 13:27:00	 Logical clock time: 323
Internal event	 System time: 13:27:00	 Logical clock time: 324
Received message	 System time: 13:27:00	 Logical clock time: 325
Internal event	 System time: 13:27:01	 Logical clock time: 326
Internal event	 System time: 13:27:01	 Logical clock time: 327
Sent message:'327'	 System time: 13:27:01	 Logical clock time: 328
Internal event	 System time: 13:27:02	 Logical clock time: 329
Received message	 System time: 13:27:02	 Logical clock time: 332
Received message	 System time: 13:27:02	 Logical clock time: 333
Internal event	 System time: 13:27:03	 Logical clock time: 334
Internal event	 System time: 13:27:03	 Logical clock time: 335
Internal event	 System time: 13:27:03	 Logical clock time: 336
Sent message:'336'	 System time: 13:27:04	 Logical clock time: 337
Sent message:'337'	 System time: 13:27:04	 Logical clock time: 338
Sent message:'338'	 System time: 13:27:04	 Logical clock time: 339
Sent message:'339'	 System time: 13:27:05	 Logical clock time: 340
Internal event	 System time: 13:27:05	 Logical clock time: 341
Internal event	 System time: 13:27:05	 Logical clock time: 342
Received message	 System time: 13:27:06	 Logical clock time: 346
Received message	 System time: 13:27:06	 Logical clock time: 347
Internal event	 System time: 13:27:06	 Logical clock time: 348
