Process 0 has a clock rate of 6

Internal event	 System time: 10:28:54	 Logical clock time: 1
Received message	 System time: 10:29:00	 Logical clock time: 4
Received message	 System time: 10:29:06	 Logical clock time: 7
Received message	 System time: 10:29:12	 Logical clock time: 8
Received message	 System time: 10:29:18	 Logical clock time: 10
Received message	 System time: 10:29:24	 Logical clock time: 15
Received message	 System time: 10:29:30	 Logical clock time: 16
Received message	 System time: 10:29:36	 Logical clock time: 22
Received message	 System time: 10:29:42	 Logical clock time: 26
Received message	 System time: 10:29:48	 Logical clock time: 31
Received message	 System time: 10:29:54	 Logical clock time: 32
Received message	 System time: 10:30:00	 Logical clock time: 33
Received message	 System time: 10:30:06	 Logical clock time: 37
Received message	 System time: 10:30:12	 Logical clock time: 42
