Process 2 has a clock rate of 18

Sent message:'0'	 System time: 13:26:06	 Logical clock time: 1
Internal event	 System time: 13:26:06	 Logical clock time: 2
Internal event	 System time: 13:26:06	 Logical clock time: 3
Internal event	 System time: 13:26:06	 Logical clock time: 4
Internal event	 System time: 13:26:06	 Logical clock time: 5
Sent message:'5'	 System time: 13:26:06	 Logical clock time: 6
Internal event	 System time: 13:26:06	 Logical clock time: 7
Internal event	 System time: 13:26:06	 Logical clock time: 8
Internal event	 System time: 13:26:06	 Logical clock time: 9
Received message	 System time: 13:26:06	 Logical clock time: 10
Internal event	 System time: 13:26:07	 Logical clock time: 11
Sent message:'11'	 System time: 13:26:07	 Logical clock time: 12
Internal event	 System time: 13:26:07	 Logical clock time: 13
Sent message:'13'	 System time: 13:26:07	 Logical clock time: 14
Internal event	 System time: 13:26:07	 Logical clock time: 15
Received message	 System time: 13:26:07	 Logical clock time: 16
Sent message:'16'	 System time: 13:26:07	 Logical clock time: 17
Sent message:'17'	 System time: 13:26:07	 Logical clock time: 18
Sent message:'18'	 System time: 13:26:07	 Logical clock time: 19
Internal event	 System time: 13:26:07	 Logical clock time: 20
Internal event	 System time: 13:26:07	 Logical clock time: 21
Internal event	 System time: 13:26:07	 Logical clock time: 22
Internal event	 System time: 13:26:07	 Logical clock time: 23
Internal event	 System time: 13:26:07	 Logical clock time: 24
Internal event	 System time: 13:26:07	 Logical clock time: 25
Internal event	 System time: 13:26:07	 Logical clock time: 26
Internal event	 System time: 13:26:07	 Logical clock time: 27
Received message	 System time: 13:26:08	 Logical clock time: 28
Internal event	 System time: 13:26:08	 Logical clock time: 29
Internal event	 System time: 13:26:08	 Logical clock time: 30
Internal event	 System time: 13:26:08	 Logical clock time: 31
Internal event	 System time: 13:26:08	 Logical clock time: 32
Internal event	 System time: 13:26:08	 Logical clock time: 33
Received message	 System time: 13:26:08	 Logical clock time: 34
Internal event	 System time: 13:26:08	 Logical clock time: 35
Internal event	 System time: 13:26:08	 Logical clock time: 36
Received message	 System time: 13:26:08	 Logical clock time: 37
Internal event	 System time: 13:26:08	 Logical clock time: 38
Internal event	 System time: 13:26:08	 Logical clock time: 39
Received message	 System time: 13:26:08	 Logical clock time: 40
Sent message:'40'	 System time: 13:26:08	 Logical clock time: 41
Sent message:'41'	 System time: 13:26:08	 Logical clock time: 42
Internal event	 System time: 13:26:08	 Logical clock time: 43
Internal event	 System time: 13:26:09	 Logical clock time: 44
Internal event	 System time: 13:26:09	 Logical clock time: 45
Sent message:'45'	 System time: 13:26:09	 Logical clock time: 46
Internal event	 System time: 13:26:09	 Logical clock time: 47
Internal event	 System time: 13:26:09	 Logical clock time: 48
Internal event	 System time: 13:26:09	 Logical clock time: 49
Internal event	 System time: 13:26:09	 Logical clock time: 50
Sent message:'50'	 System time: 13:26:09	 Logical clock time: 51
Internal event	 System time: 13:26:09	 Logical clock time: 52
Internal event	 System time: 13:26:09	 Logical clock time: 53
Internal event	 System time: 13:26:09	 Logical clock time: 54
Sent message:'54'	 System time: 13:26:09	 Logical clock time: 55
Internal event	 System time: 13:26:09	 Logical clock time: 56
Internal event	 System time: 13:26:09	 Logical clock time: 57
Internal event	 System time: 13:26:09	 Logical clock time: 58
Sent message:'58'	 System time: 13:26:09	 Logical clock time: 59
Internal event	 System time: 13:26:09	 Logical clock time: 60
Internal event	 System time: 13:26:10	 Logical clock time: 61
Sent message:'61'	 System time: 13:26:10	 Logical clock time: 62
Sent message:'62'	 System time: 13:26:10	 Logical clock time: 63
Internal event	 System time: 13:26:10	 Logical clock time: 64
Internal event	 System time: 13:26:10	 Logical clock time: 65
Internal event	 System time: 13:26:10	 Logical clock time: 66
Internal event	 System time: 13:26:10	 Logical clock time: 67
Received message	 System time: 13:26:10	 Logical clock time: 68
Sent message:'68'	 System time: 13:26:10	 Logical clock time: 69
Sent message:'69'	 System time: 13:26:10	 Logical clock time: 70
Internal event	 System time: 13:26:10	 Logical clock time: 71
Internal event	 System time: 13:26:10	 Logical clock time: 72
Internal event	 System time: 13:26:10	 Logical clock time: 73
Internal event	 System time: 13:26:10	 Logical clock time: 74
Internal event	 System time: 13:26:10	 Logical clock time: 75
Received message	 System time: 13:26:10	 Logical clock time: 76
Internal event	 System time: 13:26:11	 Logical clock time: 77
Internal event	 System time: 13:26:11	 Logical clock time: 78
Received message	 System time: 13:26:11	 Logical clock time: 79
Internal event	 System time: 13:26:11	 Logical clock time: 80
Internal event	 System time: 13:26:11	 Logical clock time: 81
Internal event	 System time: 13:26:11	 Logical clock time: 82
Internal event	 System time: 13:26:11	 Logical clock time: 83
Internal event	 System time: 13:26:11	 Logical clock time: 84
Internal event	 System time: 13:26:11	 Logical clock time: 85
Received message	 System time: 13:26:11	 Logical clock time: 86
Internal event	 System time: 13:26:11	 Logical clock time: 87
Internal event	 System time: 13:26:11	 Logical clock time: 88
Sent message:'88'	 System time: 13:26:11	 Logical clock time: 89
Sent message:'89'	 System time: 13:26:11	 Logical clock time: 90
Internal event	 System time: 13:26:11	 Logical clock time: 91
Sent message:'91'	 System time: 13:26:11	 Logical clock time: 92
Internal event	 System time: 13:26:12	 Logical clock time: 93
Internal event	 System time: 13:26:12	 Logical clock time: 94
Internal event	 System time: 13:26:12	 Logical clock time: 95
Sent message:'95'	 System time: 13:26:12	 Logical clock time: 96
Internal event	 System time: 13:26:12	 Logical clock time: 97
Internal event	 System time: 13:26:12	 Logical clock time: 98
Internal event	 System time: 13:26:12	 Logical clock time: 99
Internal event	 System time: 13:26:12	 Logical clock time: 100
Internal event	 System time: 13:26:12	 Logical clock time: 101
Sent message:'101'	 System time: 13:26:12	 Logical clock time: 102
Received message	 System time: 13:26:12	 Logical clock time: 103
Internal event	 System time: 13:26:12	 Logical clock time: 104
Internal event	 System time: 13:26:12	 Logical clock time: 105
Internal event	 System time: 13:26:12	 Logical clock time: 106
Internal event	 System time: 13:26:12	 Logical clock time: 107
Internal event	 System time: 13:26:12	 Logical clock time: 108
Internal event	 System time: 13:26:12	 Logical clock time: 109
Internal event	 System time: 13:26:13	 Logical clock time: 110
Sent message:'110'	 System time: 13:26:13	 Logical clock time: 111
Sent message:'111'	 System time: 13:26:13	 Logical clock time: 112
Internal event	 System time: 13:26:13	 Logical clock time: 113
Sent message:'113'	 System time: 13:26:13	 Logical clock time: 114
Internal event	 System time: 13:26:13	 Logical clock time: 115
Internal event	 System time: 13:26:13	 Logical clock time: 116
Internal event	 System time: 13:26:13	 Logical clock time: 117
Sent message:'117'	 System time: 13:26:13	 Logical clock time: 118
Internal event	 System time: 13:26:13	 Logical clock time: 119
Internal event	 System time: 13:26:13	 Logical clock time: 120
Internal event	 System time: 13:26:13	 Logical clock time: 121
Internal event	 System time: 13:26:13	 Logical clock time: 122
Sent message:'122'	 System time: 13:26:13	 Logical clock time: 123
Internal event	 System time: 13:26:13	 Logical clock time: 124
Internal event	 System time: 13:26:13	 Logical clock time: 125
Received message	 System time: 13:26:14	 Logical clock time: 126
Internal event	 System time: 13:26:14	 Logical clock time: 127
Sent message:'127'	 System time: 13:26:14	 Logical clock time: 128
Sent message:'128'	 System time: 13:26:14	 Logical clock time: 129
Sent message:'129'	 System time: 13:26:14	 Logical clock time: 130
Internal event	 System time: 13:26:14	 Logical clock time: 131
Internal event	 System time: 13:26:14	 Logical clock time: 132
Internal event	 System time: 13:26:14	 Logical clock time: 133
Received message	 System time: 13:26:14	 Logical clock time: 134
Internal event	 System time: 13:26:14	 Logical clock time: 135
Internal event	 System time: 13:26:14	 Logical clock time: 136
Received message	 System time: 13:26:14	 Logical clock time: 137
Internal event	 System time: 13:26:14	 Logical clock time: 138
Internal event	 System time: 13:26:14	 Logical clock time: 139
Internal event	 System time: 13:26:14	 Logical clock time: 140
Internal event	 System time: 13:26:14	 Logical clock time: 141
Sent message:'141'	 System time: 13:26:14	 Logical clock time: 142
Internal event	 System time: 13:26:15	 Logical clock time: 143
Internal event	 System time: 13:26:15	 Logical clock time: 144
Internal event	 System time: 13:26:15	 Logical clock time: 145
Received message	 System time: 13:26:15	 Logical clock time: 146
Sent message:'146'	 System time: 13:26:15	 Logical clock time: 147
Internal event	 System time: 13:26:15	 Logical clock time: 148
Sent message:'148'	 System time: 13:26:15	 Logical clock time: 149
Sent message:'149'	 System time: 13:26:15	 Logical clock time: 150
Internal event	 System time: 13:26:15	 Logical clock time: 151
Sent message:'151'	 System time: 13:26:15	 Logical clock time: 152
Sent message:'152'	 System time: 13:26:15	 Logical clock time: 153
Internal event	 System time: 13:26:15	 Logical clock time: 154
Sent message:'154'	 System time: 13:26:15	 Logical clock time: 155
Internal event	 System time: 13:26:15	 Logical clock time: 156
Sent message:'156'	 System time: 13:26:15	 Logical clock time: 157
Sent message:'157'	 System time: 13:26:15	 Logical clock time: 158
Internal event	 System time: 13:26:16	 Logical clock time: 159
Internal event	 System time: 13:26:16	 Logical clock time: 160
Sent message:'160'	 System time: 13:26:16	 Logical clock time: 161
Internal event	 System time: 13:26:16	 Logical clock time: 162
Internal event	 System time: 13:26:16	 Logical clock time: 163
Internal event	 System time: 13:26:16	 Logical clock time: 164
Sent message:'164'	 System time: 13:26:16	 Logical clock time: 165
Internal event	 System time: 13:26:16	 Logical clock time: 166
Internal event	 System time: 13:26:16	 Logical clock time: 167
Sent message:'167'	 System time: 13:26:16	 Logical clock time: 168
Internal event	 System time: 13:26:16	 Logical clock time: 169
Internal event	 System time: 13:26:16	 Logical clock time: 170
Received message	 System time: 13:26:16	 Logical clock time: 171
Received message	 System time: 13:26:16	 Logical clock time: 172
