Process 2 has a clock rate of 5

Internal event	 System time: 10:28:54	 Logical clock time: 1
Received message	 System time: 10:28:59	 Logical clock time: 3
Received message	 System time: 10:29:04	 Logical clock time: 4
Received message	 System time: 10:29:09	 Logical clock time: 10
Received message	 System time: 10:29:14	 Logical clock time: 14
Received message	 System time: 10:29:19	 Logical clock time: 16
Received message	 System time: 10:29:24	 Logical clock time: 19
Received message	 System time: 10:29:29	 Logical clock time: 26
Received message	 System time: 10:29:34	 Logical clock time: 31
Received message	 System time: 10:29:39	 Logical clock time: 32
Received message	 System time: 10:29:44	 Logical clock time: 33
Received message	 System time: 10:29:49	 Logical clock time: 37
Received message	 System time: 10:29:54	 Logical clock time: 43
Received message	 System time: 10:29:59	 Logical clock time: 52
Received message	 System time: 10:30:04	 Logical clock time: 65
Received message	 System time: 10:30:09	 Logical clock time: 67
Received message	 System time: 10:30:14	 Logical clock time: 70
