Process 0 has a clock rate of 4

Sent message:'0'	 System time: 10:27:49	 Logical clock time: 1
Sent message:'1'	 System time: 10:27:53	 Logical clock time: 2
Internal event	 System time: 10:27:57	 Logical clock time: 3
Sent message:'3'	 System time: 10:28:01	 Logical clock time: 4
Received message	 System time: 10:28:05	 Logical clock time: 5
Received message	 System time: 10:28:09	 Logical clock time: 6
Internal event	 System time: 10:28:13	 Logical clock time: 7
Internal event	 System time: 10:28:17	 Logical clock time: 8
Internal event	 System time: 10:28:21	 Logical clock time: 9
Internal event	 System time: 10:28:25	 Logical clock time: 10
Internal event	 System time: 10:28:29	 Logical clock time: 11
Sent message:'11'	 System time: 10:28:33	 Logical clock time: 12
Internal event	 System time: 10:28:37	 Logical clock time: 13
Internal event	 System time: 10:28:41	 Logical clock time: 14
Internal event	 System time: 10:28:45	 Logical clock time: 15
Internal event	 System time: 10:28:49	 Logical clock time: 16
Internal event	 System time: 10:28:53	 Logical clock time: 17
Received message	 System time: 10:28:57	 Logical clock time: 18
Internal event	 System time: 10:29:01	 Logical clock time: 19
Sent message:'19'	 System time: 10:29:05	 Logical clock time: 20
