Process 1 has a clock rate of 3

Sent message:'0'	 System time: 13:30:21	 Logical clock time: 1
Received message	 System time: 13:30:21	 Logical clock time: 2
Internal event	 System time: 13:30:21	 Logical clock time: 3
Received message	 System time: 13:30:22	 Logical clock time: 5
Received message	 System time: 13:30:22	 Logical clock time: 6
Received message	 System time: 13:30:22	 Logical clock time: 9
Received message	 System time: 13:30:23	 Logical clock time: 10
Received message	 System time: 13:30:23	 Logical clock time: 11
Received message	 System time: 13:30:23	 Logical clock time: 12
Received message	 System time: 13:30:24	 Logical clock time: 13
Received message	 System time: 13:30:24	 Logical clock time: 14
Received message	 System time: 13:30:24	 Logical clock time: 15
Received message	 System time: 13:30:25	 Logical clock time: 16
Received message	 System time: 13:30:25	 Logical clock time: 17
Received message	 System time: 13:30:25	 Logical clock time: 18
Received message	 System time: 13:30:26	 Logical clock time: 23
Received message	 System time: 13:30:26	 Logical clock time: 25
Received message	 System time: 13:30:26	 Logical clock time: 27
Received message	 System time: 13:30:27	 Logical clock time: 29
Received message	 System time: 13:30:27	 Logical clock time: 30
Received message	 System time: 13:30:27	 Logical clock time: 32
Received message	 System time: 13:30:28	 Logical clock time: 33
Received message	 System time: 13:30:28	 Logical clock time: 37
Received message	 System time: 13:30:28	 Logical clock time: 38
Received message	 System time: 13:30:29	 Logical clock time: 40
Received message	 System time: 13:30:29	 Logical clock time: 42
Received message	 System time: 13:30:29	 Logical clock time: 43
Sent message:'43'	 System time: 13:30:30	 Logical clock time: 44
Received message	 System time: 13:30:30	 Logical clock time: 46
Received message	 System time: 13:30:30	 Logical clock time: 48
Received message	 System time: 13:30:31	 Logical clock time: 50
Received message	 System time: 13:30:31	 Logical clock time: 51
Received message	 System time: 13:30:31	 Logical clock time: 52
Received message	 System time: 13:30:32	 Logical clock time: 55
Received message	 System time: 13:30:32	 Logical clock time: 56
Received message	 System time: 13:30:33	 Logical clock time: 58
Received message	 System time: 13:30:33	 Logical clock time: 59
Sent message:'59'	 System time: 13:30:33	 Logical clock time: 60
Received message	 System time: 13:30:34	 Logical clock time: 63
Received message	 System time: 13:30:34	 Logical clock time: 64
Sent message:'64'	 System time: 13:30:34	 Logical clock time: 65
Received message	 System time: 13:30:35	 Logical clock time: 68
Sent message:'68'	 System time: 13:30:35	 Logical clock time: 69
Internal event	 System time: 13:30:35	 Logical clock time: 70
Received message	 System time: 13:30:36	 Logical clock time: 73
Sent message:'73'	 System time: 13:30:36	 Logical clock time: 74
Sent message:'74'	 System time: 13:30:36	 Logical clock time: 75
Received message	 System time: 13:30:37	 Logical clock time: 78
Received message	 System time: 13:30:37	 Logical clock time: 79
Sent message:'79'	 System time: 13:30:37	 Logical clock time: 80
Received message	 System time: 13:30:38	 Logical clock time: 83
Received message	 System time: 13:30:38	 Logical clock time: 85
Received message	 System time: 13:30:38	 Logical clock time: 86
Received message	 System time: 13:30:39	 Logical clock time: 88
Received message	 System time: 13:30:39	 Logical clock time: 89
Received message	 System time: 13:30:39	 Logical clock time: 90
Received message	 System time: 13:30:40	 Logical clock time: 93
Received message	 System time: 13:30:40	 Logical clock time: 94
Received message	 System time: 13:30:40	 Logical clock time: 96
Received message	 System time: 13:30:41	 Logical clock time: 97
Received message	 System time: 13:30:41	 Logical clock time: 98
Received message	 System time: 13:30:41	 Logical clock time: 100
Received message	 System time: 13:30:42	 Logical clock time: 101
Received message	 System time: 13:30:42	 Logical clock time: 103
Internal event	 System time: 13:30:42	 Logical clock time: 104
Received message	 System time: 13:30:43	 Logical clock time: 107
Received message	 System time: 13:30:43	 Logical clock time: 109
Received message	 System time: 13:30:43	 Logical clock time: 110
Received message	 System time: 13:30:44	 Logical clock time: 111
Received message	 System time: 13:30:44	 Logical clock time: 112
Received message	 System time: 13:30:44	 Logical clock time: 114
Received message	 System time: 13:30:45	 Logical clock time: 116
Received message	 System time: 13:30:45	 Logical clock time: 117
Received message	 System time: 13:30:45	 Logical clock time: 119
Received message	 System time: 13:30:46	 Logical clock time: 120
Received message	 System time: 13:30:46	 Logical clock time: 121
Received message	 System time: 13:30:46	 Logical clock time: 122
Received message	 System time: 13:30:47	 Logical clock time: 126
Received message	 System time: 13:30:47	 Logical clock time: 128
Received message	 System time: 13:30:47	 Logical clock time: 129
Received message	 System time: 13:30:48	 Logical clock time: 130
Sent message:'130'	 System time: 13:30:48	 Logical clock time: 131
Received message	 System time: 13:30:48	 Logical clock time: 136
Internal event	 System time: 13:30:49	 Logical clock time: 137
Received message	 System time: 13:30:49	 Logical clock time: 138
Internal event	 System time: 13:30:49	 Logical clock time: 139
Received message	 System time: 13:30:50	 Logical clock time: 142
Received message	 System time: 13:30:50	 Logical clock time: 144
Received message	 System time: 13:30:50	 Logical clock time: 145
Received message	 System time: 13:30:51	 Logical clock time: 146
Received message	 System time: 13:30:51	 Logical clock time: 149
Internal event	 System time: 13:30:51	 Logical clock time: 150
Received message	 System time: 13:30:52	 Logical clock time: 152
Received message	 System time: 13:30:52	 Logical clock time: 153
Received message	 System time: 13:30:52	 Logical clock time: 154
Received message	 System time: 13:30:53	 Logical clock time: 155
Received message	 System time: 13:30:53	 Logical clock time: 156
Received message	 System time: 13:30:53	 Logical clock time: 157
Received message	 System time: 13:30:54	 Logical clock time: 159
Received message	 System time: 13:30:54	 Logical clock time: 161
Received message	 System time: 13:30:54	 Logical clock time: 162
Received message	 System time: 13:30:55	 Logical clock time: 163
Received message	 System time: 13:30:55	 Logical clock time: 168
Received message	 System time: 13:30:56	 Logical clock time: 169
Received message	 System time: 13:30:56	 Logical clock time: 170
Received message	 System time: 13:30:56	 Logical clock time: 171
Received message	 System time: 13:30:57	 Logical clock time: 173
Received message	 System time: 13:30:57	 Logical clock time: 174
Received message	 System time: 13:30:57	 Logical clock time: 176
Received message	 System time: 13:30:58	 Logical clock time: 177
Received message	 System time: 13:30:58	 Logical clock time: 180
Received message	 System time: 13:30:58	 Logical clock time: 181
Received message	 System time: 13:30:59	 Logical clock time: 182
Received message	 System time: 13:30:59	 Logical clock time: 183
Received message	 System time: 13:30:59	 Logical clock time: 184
Received message	 System time: 13:31:00	 Logical clock time: 186
Received message	 System time: 13:31:00	 Logical clock time: 187
Received message	 System time: 13:31:00	 Logical clock time: 188
Received message	 System time: 13:31:01	 Logical clock time: 190
Received message	 System time: 13:31:01	 Logical clock time: 193
Received message	 System time: 13:31:01	 Logical clock time: 194
Received message	 System time: 13:31:02	 Logical clock time: 195
Received message	 System time: 13:31:02	 Logical clock time: 197
Received message	 System time: 13:31:02	 Logical clock time: 198
Received message	 System time: 13:31:03	 Logical clock time: 199
Received message	 System time: 13:31:03	 Logical clock time: 201
Received message	 System time: 13:31:03	 Logical clock time: 204
Received message	 System time: 13:31:04	 Logical clock time: 209
Received message	 System time: 13:31:04	 Logical clock time: 211
Received message	 System time: 13:31:04	 Logical clock time: 213
Received message	 System time: 13:31:05	 Logical clock time: 215
Received message	 System time: 13:31:05	 Logical clock time: 217
Received message	 System time: 13:31:05	 Logical clock time: 218
Received message	 System time: 13:31:06	 Logical clock time: 220
Received message	 System time: 13:31:06	 Logical clock time: 221
Received message	 System time: 13:31:06	 Logical clock time: 222
Received message	 System time: 13:31:07	 Logical clock time: 223
Received message	 System time: 13:31:07	 Logical clock time: 224
Received message	 System time: 13:31:07	 Logical clock time: 226
Sent message:'226'	 System time: 13:31:08	 Logical clock time: 227
Received message	 System time: 13:31:08	 Logical clock time: 232
Sent message:'232'	 System time: 13:31:08	 Logical clock time: 233
Received message	 System time: 13:31:09	 Logical clock time: 235
Received message	 System time: 13:31:09	 Logical clock time: 237
Received message	 System time: 13:31:09	 Logical clock time: 238
Received message	 System time: 13:31:10	 Logical clock time: 239
Received message	 System time: 13:31:10	 Logical clock time: 242
Received message	 System time: 13:31:10	 Logical clock time: 243
Received message	 System time: 13:31:11	 Logical clock time: 245
Received message	 System time: 13:31:11	 Logical clock time: 246
Received message	 System time: 13:31:11	 Logical clock time: 247
Received message	 System time: 13:31:12	 Logical clock time: 248
Received message	 System time: 13:31:12	 Logical clock time: 249
Received message	 System time: 13:31:12	 Logical clock time: 250
Received message	 System time: 13:31:13	 Logical clock time: 254
Received message	 System time: 13:31:13	 Logical clock time: 255
Sent message:'255'	 System time: 13:31:13	 Logical clock time: 256
Received message	 System time: 13:31:14	 Logical clock time: 259
Received message	 System time: 13:31:14	 Logical clock time: 260
Sent message:'260'	 System time: 13:31:14	 Logical clock time: 261
Received message	 System time: 13:31:15	 Logical clock time: 265
Sent message:'265'	 System time: 13:31:15	 Logical clock time: 266
Received message	 System time: 13:31:15	 Logical clock time: 267
Received message	 System time: 13:31:16	 Logical clock time: 270
Sent message:'270'	 System time: 13:31:16	 Logical clock time: 271
Received message	 System time: 13:31:17	 Logical clock time: 273
Internal event	 System time: 13:31:17	 Logical clock time: 274
Sent message:'274'	 System time: 13:31:17	 Logical clock time: 275
Received message	 System time: 13:31:18	 Logical clock time: 278
Received message	 System time: 13:31:18	 Logical clock time: 279
Received message	 System time: 13:31:18	 Logical clock time: 281
Received message	 System time: 13:31:19	 Logical clock time: 282
Received message	 System time: 13:31:19	 Logical clock time: 283
Received message	 System time: 13:31:19	 Logical clock time: 285
Received message	 System time: 13:31:20	 Logical clock time: 286
Received message	 System time: 13:31:20	 Logical clock time: 287
Received message	 System time: 13:31:20	 Logical clock time: 290
Received message	 System time: 13:31:21	 Logical clock time: 291
Received message	 System time: 13:31:21	 Logical clock time: 292
Received message	 System time: 13:31:21	 Logical clock time: 293
