Process 0 has a clock rate of 4

Sent message:'0'	 System time: 13:24:16	 Logical clock time: 1
Internal event	 System time: 13:24:16	 Logical clock time: 2
Sent message:'2'	 System time: 13:24:16	 Logical clock time: 3
Internal event	 System time: 13:24:16	 Logical clock time: 4
Received message	 System time: 13:24:17	 Logical clock time: 5
Internal event	 System time: 13:24:17	 Logical clock time: 6
Received message	 System time: 13:24:17	 Logical clock time: 7
Internal event	 System time: 13:24:17	 Logical clock time: 8
Internal event	 System time: 13:24:18	 Logical clock time: 9
Internal event	 System time: 13:24:18	 Logical clock time: 10
Received message	 System time: 13:24:18	 Logical clock time: 11
Internal event	 System time: 13:24:18	 Logical clock time: 12
Sent message:'12'	 System time: 13:24:19	 Logical clock time: 13
Internal event	 System time: 13:24:19	 Logical clock time: 14
Sent message:'14'	 System time: 13:24:19	 Logical clock time: 15
Internal event	 System time: 13:24:19	 Logical clock time: 16
Sent message:'16'	 System time: 13:24:20	 Logical clock time: 17
Internal event	 System time: 13:24:20	 Logical clock time: 18
Received message	 System time: 13:24:20	 Logical clock time: 19
Sent message:'19'	 System time: 13:24:20	 Logical clock time: 20
Sent message:'20'	 System time: 13:24:21	 Logical clock time: 21
Internal event	 System time: 13:24:21	 Logical clock time: 22
Internal event	 System time: 13:24:21	 Logical clock time: 23
Internal event	 System time: 13:24:21	 Logical clock time: 24
Sent message:'24'	 System time: 13:24:22	 Logical clock time: 25
Sent message:'25'	 System time: 13:24:22	 Logical clock time: 26
Internal event	 System time: 13:24:22	 Logical clock time: 27
Sent message:'27'	 System time: 13:24:22	 Logical clock time: 28
Internal event	 System time: 13:24:23	 Logical clock time: 29
Internal event	 System time: 13:24:23	 Logical clock time: 30
Sent message:'30'	 System time: 13:24:23	 Logical clock time: 31
Internal event	 System time: 13:24:23	 Logical clock time: 32
Internal event	 System time: 13:24:24	 Logical clock time: 33
Internal event	 System time: 13:24:24	 Logical clock time: 34
Received message	 System time: 13:24:24	 Logical clock time: 35
Sent message:'35'	 System time: 13:24:25	 Logical clock time: 36
Sent message:'36'	 System time: 13:24:25	 Logical clock time: 37
Internal event	 System time: 13:24:25	 Logical clock time: 38
Internal event	 System time: 13:24:25	 Logical clock time: 39
Sent message:'39'	 System time: 13:24:26	 Logical clock time: 40
Internal event	 System time: 13:24:26	 Logical clock time: 41
Sent message:'41'	 System time: 13:24:26	 Logical clock time: 42
Internal event	 System time: 13:24:26	 Logical clock time: 43
Internal event	 System time: 13:24:27	 Logical clock time: 44
Received message	 System time: 13:24:27	 Logical clock time: 45
Internal event	 System time: 13:24:27	 Logical clock time: 46
Internal event	 System time: 13:24:27	 Logical clock time: 47
Internal event	 System time: 13:24:28	 Logical clock time: 48
Internal event	 System time: 13:24:28	 Logical clock time: 49
Internal event	 System time: 13:24:28	 Logical clock time: 50
Internal event	 System time: 13:24:28	 Logical clock time: 51
Internal event	 System time: 13:24:29	 Logical clock time: 52
Internal event	 System time: 13:24:29	 Logical clock time: 53
Internal event	 System time: 13:24:29	 Logical clock time: 54
Internal event	 System time: 13:24:29	 Logical clock time: 55
Internal event	 System time: 13:24:30	 Logical clock time: 56
Internal event	 System time: 13:24:30	 Logical clock time: 57
Internal event	 System time: 13:24:30	 Logical clock time: 58
Internal event	 System time: 13:24:30	 Logical clock time: 59
Internal event	 System time: 13:24:31	 Logical clock time: 60
Internal event	 System time: 13:24:31	 Logical clock time: 61
Sent message:'61'	 System time: 13:24:31	 Logical clock time: 62
Internal event	 System time: 13:24:31	 Logical clock time: 63
Sent message:'63'	 System time: 13:24:32	 Logical clock time: 64
Internal event	 System time: 13:24:32	 Logical clock time: 65
Sent message:'65'	 System time: 13:24:32	 Logical clock time: 66
Internal event	 System time: 13:24:32	 Logical clock time: 67
Internal event	 System time: 13:24:33	 Logical clock time: 68
Received message	 System time: 13:24:33	 Logical clock time: 69
Internal event	 System time: 13:24:33	 Logical clock time: 70
Internal event	 System time: 13:24:33	 Logical clock time: 71
Internal event	 System time: 13:24:34	 Logical clock time: 72
Sent message:'72'	 System time: 13:24:34	 Logical clock time: 73
Internal event	 System time: 13:24:34	 Logical clock time: 74
Sent message:'74'	 System time: 13:24:34	 Logical clock time: 75
Internal event	 System time: 13:24:35	 Logical clock time: 76
