Process 2 has a clock rate of 4

Sent message:'0'	 System time: 13:51:49	 Logical clock time: 1
Sent message:'1'	 System time: 13:51:49	 Logical clock time: 2
Internal event	 System time: 13:51:50	 Logical clock time: 3
Received message	 System time: 13:51:50	 Logical clock time: 4
Received message	 System time: 13:51:50	 Logical clock time: 5
Received message	 System time: 13:51:50	 Logical clock time: 6
Received message	 System time: 13:51:51	 Logical clock time: 7
Received message	 System time: 13:51:51	 Logical clock time: 8
Received message	 System time: 13:51:51	 Logical clock time: 9
Received message	 System time: 13:51:51	 Logical clock time: 10
Internal event	 System time: 13:51:52	 Logical clock time: 11
Received message	 System time: 13:51:52	 Logical clock time: 12
Internal event	 System time: 13:51:52	 Logical clock time: 13
Received message	 System time: 13:51:52	 Logical clock time: 14
Sent message:'14'	 System time: 13:51:53	 Logical clock time: 15
Sent message:'15'	 System time: 13:51:53	 Logical clock time: 16
Sent message:'16'	 System time: 13:51:53	 Logical clock time: 17
Sent message:'17'	 System time: 13:51:53	 Logical clock time: 18
Sent message:'18'	 System time: 13:51:54	 Logical clock time: 19
Sent message:'19'	 System time: 13:51:54	 Logical clock time: 20
Sent message:'20'	 System time: 13:51:54	 Logical clock time: 21
Sent message:'21'	 System time: 13:51:54	 Logical clock time: 22
Sent message:'22'	 System time: 13:51:55	 Logical clock time: 23
Received message	 System time: 13:51:55	 Logical clock time: 24
Received message	 System time: 13:51:55	 Logical clock time: 25
Sent message:'25'	 System time: 13:51:55	 Logical clock time: 26
Sent message:'26'	 System time: 13:51:56	 Logical clock time: 27
Sent message:'27'	 System time: 13:51:56	 Logical clock time: 28
Sent message:'28'	 System time: 13:51:56	 Logical clock time: 29
Sent message:'29'	 System time: 13:51:56	 Logical clock time: 30
Internal event	 System time: 13:51:57	 Logical clock time: 31
Received message	 System time: 13:51:57	 Logical clock time: 32
Received message	 System time: 13:51:57	 Logical clock time: 33
Sent message:'33'	 System time: 13:51:57	 Logical clock time: 34
Sent message:'34'	 System time: 13:51:58	 Logical clock time: 35
Sent message:'35'	 System time: 13:51:58	 Logical clock time: 36
Internal event	 System time: 13:51:58	 Logical clock time: 37
Received message	 System time: 13:51:59	 Logical clock time: 38
Received message	 System time: 13:51:59	 Logical clock time: 39
Received message	 System time: 13:51:59	 Logical clock time: 40
Received message	 System time: 13:51:59	 Logical clock time: 41
Received message	 System time: 13:52:00	 Logical clock time: 42
Received message	 System time: 13:52:00	 Logical clock time: 43
Received message	 System time: 13:52:00	 Logical clock time: 44
Received message	 System time: 13:52:00	 Logical clock time: 45
