Process 2 has a clock rate of 1

Received message	 System time: 13:26:57	 Logical clock time: 506
Received message	 System time: 13:26:58	 Logical clock time: 511
Received message	 System time: 13:26:59	 Logical clock time: 512
Received message	 System time: 13:27:00	 Logical clock time: 519
Received message	 System time: 13:27:01	 Logical clock time: 520
Received message	 System time: 13:27:02	 Logical clock time: 521
Received message	 System time: 13:27:03	 Logical clock time: 530
Received message	 System time: 13:27:04	 Logical clock time: 538
Received message	 System time: 13:27:05	 Logical clock time: 539
Received message	 System time: 13:27:06	 Logical clock time: 544
Received message	 System time: 13:27:07	 Logical clock time: 546
Received message	 System time: 13:27:08	 Logical clock time: 548
Received message	 System time: 13:27:09	 Logical clock time: 554
Received message	 System time: 13:27:10	 Logical clock time: 556
Received message	 System time: 13:27:11	 Logical clock time: 559
Received message	 System time: 13:27:12	 Logical clock time: 564
Received message	 System time: 13:27:13	 Logical clock time: 565
Received message	 System time: 13:27:14	 Logical clock time: 568
Received message	 System time: 13:27:15	 Logical clock time: 569
Received message	 System time: 13:27:16	 Logical clock time: 574
Received message	 System time: 13:27:17	 Logical clock time: 587
Received message	 System time: 13:27:18	 Logical clock time: 590
Received message	 System time: 13:27:19	 Logical clock time: 600
Received message	 System time: 13:27:20	 Logical clock time: 602
Received message	 System time: 13:27:21	 Logical clock time: 607
Received message	 System time: 13:27:22	 Logical clock time: 611
Received message	 System time: 13:27:23	 Logical clock time: 612
Received message	 System time: 13:27:24	 Logical clock time: 614
Received message	 System time: 13:27:25	 Logical clock time: 621
Received message	 System time: 13:27:26	 Logical clock time: 622
Received message	 System time: 13:27:27	 Logical clock time: 623
Received message	 System time: 13:27:28	 Logical clock time: 629
Received message	 System time: 13:27:29	 Logical clock time: 632
Received message	 System time: 13:27:30	 Logical clock time: 637
Received message	 System time: 13:27:31	 Logical clock time: 641
Received message	 System time: 13:27:32	 Logical clock time: 642
Received message	 System time: 13:27:33	 Logical clock time: 643
Received message	 System time: 13:27:34	 Logical clock time: 659
Received message	 System time: 13:27:35	 Logical clock time: 660
Received message	 System time: 13:27:36	 Logical clock time: 667
Received message	 System time: 13:27:37	 Logical clock time: 669
Received message	 System time: 13:27:38	 Logical clock time: 676
Received message	 System time: 13:27:39	 Logical clock time: 677
Received message	 System time: 13:27:40	 Logical clock time: 680
Received message	 System time: 13:27:41	 Logical clock time: 691
Received message	 System time: 13:27:42	 Logical clock time: 696
Received message	 System time: 13:27:43	 Logical clock time: 701
Received message	 System time: 13:27:44	 Logical clock time: 703
Received message	 System time: 13:27:45	 Logical clock time: 704
Received message	 System time: 13:27:46	 Logical clock time: 716
Received message	 System time: 13:27:47	 Logical clock time: 717
Received message	 System time: 13:27:48	 Logical clock time: 718
Received message	 System time: 13:27:49	 Logical clock time: 719
Received message	 System time: 13:27:50	 Logical clock time: 720
Received message	 System time: 13:27:51	 Logical clock time: 742
Received message	 System time: 13:27:52	 Logical clock time: 752
Received message	 System time: 13:27:53	 Logical clock time: 762
Received message	 System time: 13:27:54	 Logical clock time: 771
Received message	 System time: 13:27:55	 Logical clock time: 774
Received message	 System time: 13:27:56	 Logical clock time: 776
Received message	 System time: 13:27:57	 Logical clock time: 786
Received message	 System time: 13:27:58	 Logical clock time: 787
Received message	 System time: 13:27:59	 Logical clock time: 789
Received message	 System time: 13:28:00	 Logical clock time: 790
Received message	 System time: 13:28:01	 Logical clock time: 791
Received message	 System time: 13:28:02	 Logical clock time: 793
Received message	 System time: 13:28:03	 Logical clock time: 804
Received message	 System time: 13:28:04	 Logical clock time: 816
Received message	 System time: 13:28:05	 Logical clock time: 817
Received message	 System time: 13:28:06	 Logical clock time: 821
Received message	 System time: 13:28:07	 Logical clock time: 822
Received message	 System time: 13:28:08	 Logical clock time: 823
Received message	 System time: 13:28:09	 Logical clock time: 824
Received message	 System time: 13:28:10	 Logical clock time: 826
Received message	 System time: 13:28:11	 Logical clock time: 829
Received message	 System time: 13:28:12	 Logical clock time: 830
Received message	 System time: 13:28:13	 Logical clock time: 839
Received message	 System time: 13:28:14	 Logical clock time: 848
Received message	 System time: 13:28:15	 Logical clock time: 849
Received message	 System time: 13:28:16	 Logical clock time: 854
Received message	 System time: 13:28:17	 Logical clock time: 861
Received message	 System time: 13:28:18	 Logical clock time: 867
Received message	 System time: 13:28:19	 Logical clock time: 868
Received message	 System time: 13:28:20	 Logical clock time: 869
Received message	 System time: 13:28:21	 Logical clock time: 872
Received message	 System time: 13:28:22	 Logical clock time: 873
Received message	 System time: 13:28:23	 Logical clock time: 878
Received message	 System time: 13:28:24	 Logical clock time: 886
Received message	 System time: 13:28:25	 Logical clock time: 897
Received message	 System time: 13:28:26	 Logical clock time: 900
Received message	 System time: 13:28:27	 Logical clock time: 901
Received message	 System time: 13:28:28	 Logical clock time: 902
Received message	 System time: 13:28:29	 Logical clock time: 916
