Process 0 has a clock rate of 4

Sent message:'0'	 System time: 13:51:49	 Logical clock time: 1
Received message	 System time: 13:51:49	 Logical clock time: 2
Sent message:'2'	 System time: 13:51:50	 Logical clock time: 3
Sent message:'3'	 System time: 13:51:50	 Logical clock time: 4
Sent message:'4'	 System time: 13:51:50	 Logical clock time: 5
Sent message:'5'	 System time: 13:51:50	 Logical clock time: 6
Sent message:'6'	 System time: 13:51:51	 Logical clock time: 7
Received message	 System time: 13:51:51	 Logical clock time: 8
Internal event	 System time: 13:51:51	 Logical clock time: 9
Received message	 System time: 13:51:51	 Logical clock time: 10
Internal event	 System time: 13:51:52	 Logical clock time: 11
Sent message:'11'	 System time: 13:51:52	 Logical clock time: 12
Received message	 System time: 13:51:52	 Logical clock time: 13
Internal event	 System time: 13:51:52	 Logical clock time: 14
Received message	 System time: 13:51:53	 Logical clock time: 15
Received message	 System time: 13:51:53	 Logical clock time: 16
Received message	 System time: 13:51:53	 Logical clock time: 17
Received message	 System time: 13:51:53	 Logical clock time: 18
Received message	 System time: 13:51:54	 Logical clock time: 19
Received message	 System time: 13:51:54	 Logical clock time: 20
Received message	 System time: 13:51:54	 Logical clock time: 21
Received message	 System time: 13:51:54	 Logical clock time: 22
Received message	 System time: 13:51:55	 Logical clock time: 23
Sent message:'23'	 System time: 13:51:55	 Logical clock time: 24
Internal event	 System time: 13:51:55	 Logical clock time: 25
Sent message:'25'	 System time: 13:51:55	 Logical clock time: 26
Received message	 System time: 13:51:56	 Logical clock time: 27
Received message	 System time: 13:51:56	 Logical clock time: 28
Received message	 System time: 13:51:56	 Logical clock time: 29
Received message	 System time: 13:51:56	 Logical clock time: 30
Received message	 System time: 13:51:57	 Logical clock time: 31
Sent message:'31'	 System time: 13:51:57	 Logical clock time: 32
Received message	 System time: 13:51:57	 Logical clock time: 33
Internal event	 System time: 13:51:57	 Logical clock time: 34
Received message	 System time: 13:51:58	 Logical clock time: 35
Received message	 System time: 13:51:58	 Logical clock time: 36
Received message	 System time: 13:51:58	 Logical clock time: 37
Sent message:'37'	 System time: 13:51:58	 Logical clock time: 38
Received message	 System time: 13:51:59	 Logical clock time: 39
Internal event	 System time: 13:51:59	 Logical clock time: 40
Internal event	 System time: 13:51:59	 Logical clock time: 41
Received message	 System time: 13:52:00	 Logical clock time: 42
Sent message:'42'	 System time: 13:52:00	 Logical clock time: 43
Sent message:'43'	 System time: 13:52:00	 Logical clock time: 44
Sent message:'44'	 System time: 13:52:00	 Logical clock time: 45
Sent message:'45'	 System time: 13:52:01	 Logical clock time: 46
Received message	 System time: 13:52:01	 Logical clock time: 47
Sent message:'47'	 System time: 13:52:01	 Logical clock time: 48
Received message	 System time: 13:52:01	 Logical clock time: 49
Received message	 System time: 13:52:02	 Logical clock time: 50
